*** INDICADORES ***,,,,,,,,,,,,,,
,Período   01,,,,Contas:,,,,Média,,,,Média Permanência,
11/2025,,,934,,,,,"1.493,83",,,,"3,64",,
Procedimentos Principais,,,,,,,,,,,,,,
Descrição,,Dias,,Qtd,,Total,SH Próprio,,,SH Terceiro,SP Próprio,,,SP Terceiro
GRUPO: Procedimentos Clínicos,,2282,,538,,"232.120,00","157.026,12",,,"0,00","75.093,88",,,"0,00"
        Tratamento De Doenças Infecciosas E Parasitárias,,33,,4,,"1.590,63","1.426,81",,,"0,00","163,82",,,"0,00"
"        Tratamento De Doenças Endocrinas, Metabólicas E Nutricionais",,34,,2,,"500,22","426,71",,,"0,00","73,51",,,"0,00"
        Tratamento De Doenças Do Sistema Nervoso Central E Periférico,,5,,1,,"463,21","398,83",,,"0,00","64,38",,,"0,00"
        Tratamento De Doenças Cardiovasculares,,221,,24,,"14.758,60","13.725,20",,,"0,00","1.033,40",,,"0,00"
        Tratamento De Doenças Do Aparelho Digestivo,,85,,9,,"3.079,29","2.568,32",,,"0,00","510,97",,,"0,00"
"        Tratamento Durante A Gestação, Parto E Puerpério",,279,,60,,"7.449,63","5.907,88",,,"0,00","1.541,75",,,"0,00"
        Tratamento De Doenças Do Ouvido/Apófise Mastóide E Vias Aéreas,,47,,8,,"4.217,04","3.830,20",,,"0,00","386,84",,,"0,00"
        Tratamento Das Doenças Do Aparelho Geniturinário,,6,,1,,"226,42","188,00",,,"0,00","38,42",,,"0,00"
        Tratamento De Algumas Afecçõess Originadas No Período Neonatal,,816,,68,,"25.626,28","22.397,26",,,"0,00","3.229,02",,,"0,00"
        Gerais Em Oncologia,,44,,2,,"843,24","604,60",,,"0,00","238,64",,,"0,00"
        Tratamento Em Nefrologia Em Geral,,18,,2,,"600,70","557,49",,,"0,00","43,21",,,"0,00"
        Complicações Consequentes A Procedimentos Em Saúde,,76,,14,,"2.769,20","2.381,68",,,"0,00","387,52",,,"0,00"
        Parto E Nascimento,,618,,343,,"169.995,54","102.613,14",,,"0,00","67.382,40",,,"0,00"
GRUPO: Procedimentos Cirúrgicos,,1114,,418,,"378.074,67","275.536,65",,,"0,00","102.538,02",,,"0,00"
