,Prestador,,,,,,,,,,,
,,,,,Procedimento,,,,Qtd,,,Valor
Grupo Procedimento:,,,,,,,,,,,,
,,,DIAGNÓSTICO EM CARDIOLOGIA,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,021102003,,ELETROCARDIOGRAMA,,,,19,"0,00",
,,,,,,,Total Prestador:,19,,,"0,00",
Grupo Procedimento:,,,,,,,,,,,,
,,,DIÁRIAS,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,080201001,,DIARIA DE ACOMPANHANTE ADULTO (CO,,,,454,"3.632,00",
,,,,080201002,,DIARIA DE ACOMPANHANTE CRIANCA/AD,,,,274,"2.192,00",
,,,,080201003,,DIARIA DE ACOMPANHANTE DE GESTAN,,,,1045,"8.360,00",
,,,,080201004,,DIARIA DE ACOMPANHANTE DE IDOSOS ,,,,290,"2.320,00",
,,,,080201008,,DIARIA DE UNIDADE DE TERAPIA INTENSI,,,,289,"173.400,0",
,,,,080201012,,DIÁRIA DE UNIDADE DE TERAPIA INTENSI,,,,528,"380.160,0",
,,,,080201019,,DIÁRIA DE PERMANÊNCIA A MAIOR,,,,350,"7.021,00",
,,,,080201023,,DIÁRIA DE UNIDADE DE CUIDADOS INTER,,,,91,"27.300,00",
,,,,080201024,,DIÁRIA DE UNIDADE DE CUIDADOS INTER,,,,58,"17.400,00",
,,,,,,,Total Prestador:,3379,,,"621.785,0",
Grupo Procedimento:,,,,,,,,,,,,
,,,HEMODERIVADOS,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,060307001,,ALBUMINA HUMANA 20 POR CENTO (FRA,,,,44,"2.420,00",
,,,,,,,Total Prestador:,44,,,"2.420,00",
Grupo Procedimento:,,,,,,,,,,,,
,,,IMUNOTERÁPICOS,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,060303001,,IMUNOGLOBULINA ANTI-RHO (D) (FRASC,,,,28,"2.611,84",
,,,,,,,Total Prestador:,28,,,"2.611,84",
Grupo Procedimento:,,,,,,,,,,,,
,,,INCENTIVOS,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,080101004,,INCENTIVO AO REGISTRO CIVIL DE NASC,,,,384,"1.920,00",
,,,,,,,Total Prestador:,384,,,"1.920,00",
Grupo Procedimento:,,,,,,,,,,,,
,,,REGULADORES DE ATIVIDADE HORMONAL - INIBIDORES DA PROLACTINA,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,060304001,,"CABERGOLINA 0,5 MG (POR COMPRIMID",,,,8,"380,96",
,,,,,,,Total Prestador:,8,,,"380,96",
Grupo Procedimento:,,,,,,,,,,,,
,,,TENSIOLÍTICO ALVEOLAR,,,,,,,,,
1,,HOSPITAL BENEFICENTE SANT,,,,,,,,,,
,,,,060306001,,SURFACTANTE FRASCO-AMPOLA,,,,8,"4.157,92",
,,,,,,,Total Prestador:,8,,,"4.157,92",
Grupo Procedimento:,,,,,,,,,,,,
,,,PEQUENAS CIRURGIAS,,,,,,,,,
41,,PAULA RENATA SANTOS ARCIS,,,,,,,,,,
,,,,040101001,,CURATIVO GRAU II C/ OU S/ DEBRIDAME,,,,2,"64,80",
,,,,,,,Total Prestador:,2,,,"64,80",
Grupo Procedimento:,,,,,,,,,,,,
,,,ASSISTÊNCIA FISIOTERAPÊUTICA CARDIOVASCULARES E PNEUMO-FUNCIONAIS,,,,,,,,,
54,,ANILTON QUEIROZ BARBOSA,,,,,,,,,,
,,,,030204001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,42,"266,70",
,,,,,,,Total Prestador:,42,,,"266,70",
Grupo Procedimento:,,,,,,,,,,,,
,,,"ASSISTÊNCIA FISIOTERAPÊUTICA EM ALTERAÇÕES OBSTÉTRICAS, NEONATAIS E ",,,,,,,,,
54,,ANILTON QUEIROZ BARBOSA,,,,,,,,,,
,,,,030201001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,11,"69,85",
,,,,,,,Total Prestador:,11,,,"69,85",
Grupo Procedimento:,,,,,,,,,,,,
,,,ASSISTÊNCIA FISIOTERAPÊUTICA CARDIOVASCULARES E PNEUMO-FUNCIONAIS,,,,,,,,,
56,,DANIELLE CHRISTINA SILVA DE ,,,,,,,,,,
,,,,030204001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,118,"749,30",
,,,,,,,Total Prestador:,118,,,"749,30",
Grupo Procedimento:,,,,,,,,,,,,
,,,"ASSISTÊNCIA FISIOTERAPÊUTICA EM ALTERAÇÕES OBSTÉTRICAS, NEONATAIS E ",,,,,,,,,
56,,DANIELLE CHRISTINA SILVA DE ,,,,,,,,,,
,,,,030201001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,3,"19,05",
,,,,,,,Total Prestador:,3,,,"19,05",
Grupo Procedimento:,,,,,,,,,,,,
,,,ASSISTÊNCIA FISIOTERAPÊUTICA CARDIOVASCULARES E PNEUMO-FUNCIONAIS,,,,,,,,,
58,,ELIZILMA MOREIRA MAGALHAE,,,,,,,,,,
,,,,030204001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,90,"571,50",
,,,,030204002,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,100,"467,00",
,,,,,,,Total Prestador:,190,,,"1.038,50",
,Prestador,,,,,,,,,,,
,,,,,Procedimento,,,,Qtd,,,Valor
Grupo Procedimento:,,,,,,,,,,,,
,,,"ASSISTÊNCIA FISIOTERAPÊUTICA EM ALTERAÇÕES OBSTÉTRICAS, NEONATAIS E ",,,,,,,,,
58,,ELIZILMA MOREIRA MAGALHAE,,,,,,,,,,
,,,,030201001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,9,"57,15",
,,,,030201003,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,4,"25,40",
,,,,,,,Total Prestador:,13,,,"82,55",
Grupo Procedimento:,,,,,,,,,,,,
,,,ASSISTÊNCIA FISIOTERAPÊUTICA CARDIOVASCULARES E PNEUMO-FUNCIONAIS,,,,,,,,,
60,,MARIELLE APARECIDA LIMA D,,,,,,,,,,
,,,,030204001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,158,"1.003,30",
,,,,,,,Total Prestador:,158,,,"1.003,30",
Grupo Procedimento:,,,,,,,,,,,,
,,,"ASSISTÊNCIA FISIOTERAPÊUTICA EM ALTERAÇÕES OBSTÉTRICAS, NEONATAIS E ",,,,,,,,,
60,,MARIELLE APARECIDA LIMA D,,,,,,,,,,
,,,,030201001,,ATENDIMENTO FISIOTERAPÊUTICO EM P,,,,9,"57,15",
,,,,,,,Total Prestador:,9,,,"57,15",
Grupo Procedimento:,,,,,,,,,,,,
