GRUPO: Procedimentos Com Finalidade Diagnóstica,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0203020030,EXAME ANATOMO-PATOLÓGICO PARA ,"19.982,20",,Item Especial,490,"19.982,20","0,00",,"19.982,20"
0205010032,ECOCARDIOGRAFIA TRANSTORACICA,"2.239,38",,Item Especial,33,"2.239,38","0,00",,"2.239,38"
0205010040,ULTRASSONOGRAFIA DOPPLER COLORIDO DE ,"356,40",,Item Especial,9,"356,40","0,00",,"356,40"
0205010059,ULTRASSONOGRAFIA DOPPLER DE FLUXO ,"1.329,90",,Item Especial,31,"1.329,90","0,00",,"1.329,90"
0205020038,ULTRASSONOGRAFIA DE ABDÔMEN SUPERIOR,"96,80",,Item Especial,4,"96,80","0,00",,"96,80"
0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,"645,15",,Item Especial,17,"645,15","0,00",,"645,15"
0205020054,ULTRASSONOGRAFIA DE APARELHO URINÁRIO,"290,40",,Item Especial,12,"290,40","0,00",,"290,40"
0205020062,ULTRASSONOGRAFIA DE ARTICULACAO,"193,60",,Item Especial,8,"193,60","0,00",,"193,60"
0205020070,ULTRASSONOGRAFIA DE BOLSA ESCROTAL,"48,40",,Item Especial,2,"48,40","0,00",,"48,40"
0205020089,ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA ,"24,20",,Item Especial,1,"24,20","0,00",,"24,20"
0205020097,ULTRASSONOGRAFIA MAMARIA BILATERAL,"24,20",,Item Especial,1,"24,20","0,00",,"24,20"
0205020100,ULTRASSONOGRAFIA DE PROSTATA POR VIA ,"72,60",,Item Especial,3,"72,60","0,00",,"72,60"
0205020143,ULTRASSONOGRAFIA OBSTETRICA,"363,00",,Item Especial,15,"363,00","0,00",,"363,00"
0205020151,ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER ,"118,80",,Item Especial,3,"118,80","0,00",,"118,80"
0205020160,ULTRASSONOGRAFIA PELVICA (GINECOLOGICA),"24,20",,Item Especial,1,"24,20","0,00",,"24,20"
0205020178,ULTRASSONOGRAFIA TRANSFONTANELA,"387,20",,Item Especial,16,"387,20","0,00",,"387,20"
0205020186,ULTRASSONOGRAFIA TRANSVAGINAL,"459,80",,Item Especial,19,"459,80","0,00",,"459,80"
0206010010,TOMOGRAFIA COMPUTADORIZADA DE COLUNA ,"86,76",,Item Especial,1,"86,76","0,00",,"86,76"
0206010028,TOMOGRAFIA COMPUTADORIZADA DE COLUNA ,"101,10",,Item Especial,1,"101,10","0,00",,"101,10"
0206010036,TOMOGRAFIA COMPUTADORIZADA DE COLUNA ,"86,76",,Item Especial,1,"86,76","0,00",,"86,76"
0206010052,TOMOGRAFIA COMPUTADORIZADA DO PESCOCO,"86,75",,Item Especial,1,"86,75","0,00",,"86,75"
0206010060,TOMOGRAFIA COMPUTADORIZADA DE SELA ,"97,44",,Item Especial,1,"97,44","0,00",,"97,44"
0206010079,TOMOGRAFIA COMPUTADORIZADA DO CRANIO,"779,52",,Item Especial,8,"779,52","0,00",,"779,52"
0206020023,TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS ,"86,75",,Item Especial,1,"86,75","0,00",,"86,75"
0206020031,TOMOGRAFIA COMPUTADORIZADA DE TORAX,"3.137,43",,Item Especial,23,"3.137,43","0,00",,"3.137,43"
0206030010,TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN ,"3.743,01",,Item Especial,27,"3.743,01","0,00",,"3.743,01"
0206030037,TOMOGRAFIA COMPUTADORIZADA DE PELVE / ,"3.743,01",,Item Especial,27,"3.743,01","0,00",,"3.743,01"
0209010010,COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ,"362,72",,Item Especial,4,"362,72","0,00",,"362,72"
0209010029,COLONOSCOPIA (COLOSCOPIA),"225,32",,Item Especial,2,"225,32","0,00",,"225,32"
0209010037,ESOFAGOGASTRODUODENOSCOPIA,"240,80",,Item Especial,5,"240,80","0,00",,"240,80"
0211020010,CATETERISMO CARDIACO,"8.500,80",,Item Especial,11,"5.417,72","3.083,08",,"8.500,80"
0212010026,EXAMES PRE-TRANSFUSIONAIS I,"2.027,76",,Item Especial,119,"2.027,76","0,00",,"2.027,76"
0212010034,EXAMES PRE-TRANSFUSIONAIS II,"1.397,28",,Item Especial,82,"1.397,28","0,00",,"1.397,28"
0214010058,TESTE RÁPIDO PARA DETECÇÃO DE ANTICORPOS ,"2,00",,Item Especial,2,"2,00","0,00",,"2,00"
0214010279,TESTE RÁPIDO PARA DETECÇÃO DE ANTICORPOS ,"492,00",,Item Especial,492,"492,00","0,00",,"492,00"
Total do Grupo:,,,,,,,,1473,"51.853,44"
GRUPO: Procedimentos Clínicos,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0301010145,PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-,"4.950,00",,Item Especial,495,"0,00","4.950,00",,"4.950,00"
0301010170,CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO,"0,00",,Item Secundário,110,"0,00","514,12",,"514,12"
0302010017,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ,"273,05",,Item Especial,43,"273,05","0,00",,"273,05"
0302010033,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ,"11.931,65",,Item Especial,1879,"11.931,65","0,00",,"11.931,65"
0302040013,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ,"5.162,55",,Item Especial,813,"5.162,55","0,00",,"5.162,55"
0302040021,ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ,"1.214,20",,Item Especial,260,"1.214,20","0,00",,"1.214,20"
