INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Abr/2020
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.212 1.212 1.202.459,50 828.003,96 - - 374.455,54 - - 992,13 992,13 3.833 3,2 13 1,07
0201010208 BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO 1 1 197,59 114,29 - - 83,30 - - 197,59 197,59 4 4,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2 15.720,92 13.949,28 - - 1.771,64 - - 7.860,46 7.860,46 23 11,5 1 50,00
0303010070 TRATAMENTO DE FEBRES POR ARBOVIRUS E FEBRES HEMORRAGICAS VIRAIS 1 1 569,67 518,84 - - 50,83 - - 569,67 569,67 14 14,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 13 13 9.924,30 8.490,21 - - 1.434,09 - - 763,41 763,41 83 6,4 - -
0303010193 TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR VIRUS (B25 A B34) 1 1 294,40 262,38 - - 32,02 - - 294,40 294,40 3 3,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 2 2 905,14 805,12 - - 100,02 - - 452,57 452,57 10 5,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 2 2 1.195,49 1.055,12 - - 140,37 - - 597,75 597,75 19 9,5 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 1 229,61 187,74 - - 41,87 - - 229,61 229,61 5 5,0 - -
0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO 1 1 2.594,36 2.286,66 - - 307,70 - - 2.594,36 2.594,36 3 3,0 1 100,00
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 1 172,34 134,29 - - 38,05 - - 172,34 172,34 4 4,0 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 2 3.742,98 3.176,20 - - 566,78 - - 1.871,49 1.871,49 20 10,0 1 50,00
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 24 24 26.387,40 24.413,07 - - 1.974,33 - - 1.099,48 1.099,48 162 6,8 - -
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 2 2 9.079,09 7.766,95 - - 1.312,14 - - 4.539,55 4.539,55 25 12,5 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 2 2 697,38 644,94 - - 52,44 - - 348,69 348,69 8 4,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 1 1 650,71 573,91 - - 76,80 - - 650,71 650,71 12 12,0 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 3 3 1.665,27 1.492,98 - - 172,29 - - 555,09 555,09 34 11,3 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 31 31 8.282,38 7.237,06 - - 1.045,32 - - 267,17 267,17 92 3,0 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 50 50 9.858,17 8.500,01 - - 1.358,16 - - 197,16 197,16 217 4,3 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 18 18 18.421,18 17.120,05 - - 1.301,13 - - 1.023,40 1.023,40 111 6,2 1 5,56
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 20 20 105.240,71 88.322,51 - - 16.918,20 - - 5.262,04 5.262,04 342 17,1 1 5,00
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 3 3 4.789,05 4.147,20 - - 641,85 - - 1.596,35 1.596,35 8 2,7 1 33,33
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 1 239,01 211,85 - - 27,16 - - 239,01 239,01 2 2,0 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 21 21 19.549,81 15.828,67 - - 3.721,14 - - 930,94 930,94 109 5,2 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 5 5 1.432,70 1.238,75 - - 193,95 - - 286,54 286,54 15 3,0 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 9 9 71.580,53 58.770,59 - - 12.809,94 - - 7.953,39 7.953,39 171 19,0 1 11,11
