 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Ago/2008
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA";2;102,54;2;-;-
"0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA";3;160,66;3;-;-
"0303010010 TRATAMENTO DE DENGUE CLASSICA";1;261,60;3;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";5;9259,50;29;2;40,00
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";12;6034,12;124;-;-
"0303010118 TRATAMENTO DE HEPATITES VIRAIS";1;192,65;1;-;-
"0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09)";1;1545,94;16;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";1;520,66;7;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";9;6755,60;86;-;-
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";9;1668,11;47;-;-
"0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE)";1;321,61;4;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";3;2250,72;16;1;33,33
"0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS";1;144,47;5;-;-
"0303040211 TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA";1;120,22;3;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";14;4118,91;105;-;-
"0303060174 TRATAMENTO DE HIPERTENSAO PULMONAR";1;3652,52;9;-;-
"0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA";1;156,67;9;-;-
"0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA";1;1033,45;26;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";27;20515,28;158;2;7,41
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";2;501,49;5;-;-
"0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA";2;927,65;30;-;-
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";7;1696,16;35;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";2;826,12;15;-;-
"0303070099 TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS";1;235,43;1;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";4;2151,64;34;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";6;1950,01;42;-;-
"0303080060 TRATAMENTO DE ESTAFILOCOCCIAS";4;1176,08;18;-;-
"0303080078 TRATAMENTO DE ESTREPTOCOCCIAS";3;902,06;13;-;-
"0303090294 TRATAMENTO CONSERVADOR DE LUMBAGO OU DORSALGIA REFRATARIOS";1;387,61;10;-;-
"0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS";2;723,30;24;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";7;1151,01;31;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";36;4031,58;75;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";19;16472,84;173;4;21,05
"0303140100 TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES";1;202,01;5;-;-
"0303140127 TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES";1;192,98;2;-;-
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";20;59597,73;253;6;30,00
"0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES";2;417,79;6;-;-
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";28;22971,05;222;3;10,71
"0303150025 TRATAMENTO DE DOENCAS GLOMERULARES";1;363,76;6;-;-
"0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS";1;222,35;5;-;-
"0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO";2;440,54;7;-;-
"0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL";3;3749,34;12;1;33,33
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";9;20872,34;66;-;-
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";1;3006,39;9;-;-
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";13;42112,50;250;6;46,15
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";2;4065,10;5;2;100,00
"0304100013 TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO";1;364,91;5;-;-
"0305020013 TRATAMENTO DA PIELONEFRITE";9;2297,91;44;-;-
"0305020021 TRATAMENTO DE CALCULOSE RENAL";2;432,38;9;-;-
"0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC";3;2512,24;54;2;66,67
