INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Ago/2011
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 771 771 631.280,64 440.868,50 - - 190.412,14 - - 818,78 818,78 2.440 3,2 14 1,82
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 1 1 44,22 33,34 - - 10,88 - - 44,22 44,22 1 1,0 - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 2 2 909,99 750,78 - - 159,21 - - 455,00 455,00 22 11,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 4 4 34.146,00 30.286,66 - - 3.859,34 - - 8.536,50 8.536,50 167 41,8 3 75,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 6 6 2.293,48 2.044,87 - - 248,61 - - 382,25 382,25 27 4,5 - -
0303010118 TRATAMENTO DE HEPATITES VIRAIS 3 3 685,23 573,60 - - 111,63 - - 228,41 228,41 13 4,3 - -
0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS 1 1 233,85 200,91 - - 32,94 - - 233,85 233,85 3 3,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 7 7 2.998,40 2.632,85 - - 365,55 - - 428,34 428,34 43 6,1 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 1 147,42 123,92 - - 23,50 - - 147,42 147,42 1 1,0 - -
0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE) 1 1 399,72 311,78 - - 87,94 - - 399,72 399,72 7 7,0 - -
0303040092 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO) 1 1 8.424,95 7.282,21 - - 1.142,74 - - 8.424,95 8.424,95 21 21,0 1 100,00
