INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Ago/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.066 1.074.117,21 3.565 17 1,59
0209040033 TRAQUEOSCOPIA 1 481,58 7 - -
0303010029 TRATAMENTO DE DENGUE HEMORRAGICA 2 6.160,32 18 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 1 1.329,05 6 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 6 5.450,83 43 1 16,67
0303010118 TRATAMENTO DE HEPATITES VIRAIS 2 1.090,19 33 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 5 1.675,90 39 - -
0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09) 1 348,26 6 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 502,78 7 1 100,00
0303030038 TRATAMENTO DE DIABETES MELLITUS 6 5.641,15 102 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 364,00 6 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 4.310,04 81 - -
0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA 1 8.921,14 56 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 3 4.627,82 16 1 33,33
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 3.051,57 4 1 100,00
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 23 45.505,65 240 4 17,39
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 812,73 17 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 543,39 7 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 1.947,05 19 1 25,00
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 3 4.726,38 21 - -
