INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Dez/2008
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 989 729.320,76 3.397 36 3,64
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA 4 253,08 8 - -
0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA 5 278,19 8 - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 3 156,66 9 - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 319,76 4 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 8 38.750,71 129 6 75,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 12 4.661,86 67 - -
0303010118 TRATAMENTO DE HEPATITES VIRAIS 1 203,11 2 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 1 322,77 8 - -
0303020040 TRATAMENTO DE ANEMIA HEMOLITICA 1 375,50 2 - -
0303030020 TRATAMENTO DE DESNUTRICAO 5 4.439,99 29 1 20,00
0303030038 TRATAMENTO DE DIABETES MELLITUS 12 5.372,82 79 1 8,33
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 6 1.393,24 34 1 16,67
0303030054 TRATAMENTO DE TRANSTORNOS DA GLANDULA TIREOIDE 2 629,12 21 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 3 2.388,83 51 - -
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 1 128,83 2 - -
