 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Dez/2015
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0209040033 TRAQUEOSCOPIA";1;368,65;3;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";3;6550,29;30;1;33,33
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";4;2470,16;27;-;-
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";5;1741,97;51;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";3;7587,91;36;1;33,33
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";3;1618,79;18;1;33,33
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";3;5157,92;15;1;33,33
"0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS";4;702,94;19;-;-
"0303040211 TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA";1;152,19;2;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";2;727,35;13;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";21;34201,69;222;4;19,05
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";5;4823,63;41;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";5;2224,42;22;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";1;409,01;6;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";14;2454,28;65;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";55;7531,68;221;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";14;14209,47;107;1;7,14
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";5;26024,23;51;1;20,00
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";8;10752,96;51;1;12,50
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";5;4428,72;20;-;-
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";1;318,54;7;-;-
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";12;60887,15;235;-;-
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";11;84754,26;208;3;27,27
"0305020013 TRATAMENTO DA PIELONEFRITE";4;1768,74;27;1;25,00
"0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA";2;4826,20;17;1;50,00
"0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS";4;4477,75;47;2;50,00
"0310010039 PARTO NORMAL";369;230034,14;558;-;-
"0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO";46;35439,94;99;-;-
"0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO";1;182,11;3;-;-
