INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Dez/2022
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 946 946 1.180.565,35 875.203,36 - - 305.361,99 - - 1.247,95 1.247,95 3.310 3,5 19 2,01
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2 3.746,33 3.331,89 - - 414,44 - - 1.873,16 1.873,16 7 3,5 1 50,00
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 3 3 1.104,43 953,50 - - 150,93 - - 368,14 368,14 36 12,0 - -
0303010193 TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR VIRUS (B25 A B34) 2 2 331,98 267,94 - - 64,04 - - 165,99 165,99 3 1,5 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 1 1 755,94 651,75 - - 104,19 - - 755,94 755,94 22 22,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 2 2 5.708,36 4.949,60 - - 758,76 - - 2.854,18 2.854,18 13 6,5 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 1 4.590,55 3.918,68 - - 671,87 - - 4.590,55 4.590,55 8 8,0 - -
0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO 1 1 19.524,42 16.745,92 - - 2.778,50 - - 19.524,42 19.524,42 30 30,0 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 2 2.056,90 1.543,18 - - 513,72 - - 1.028,45 1.028,45 5 2,5 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 20 20 56.412,74 49.766,30 - - 6.646,44 - - 2.820,64 2.820,64 223 11,2 3 15,00
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 1 1 428,27 402,05 - - 26,22 - - 428,27 428,27 5 5,0 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 2 2 4.357,05 3.787,65 - - 569,40 - - 2.178,53 2.178,53 14 7,0 - -
