 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Fev/2011
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA";1;40,38;-;-;-
"0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA";3;155,01;3;1;33,33
"0303010010 TRATAMENTO DE DENGUE CLASSICA";5;1478,80;15;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";4;18353,02;69;4;100,00
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";3;1070,70;12;-;-
"0303010118 TRATAMENTO DE HEPATITES VIRAIS";2;482,12;10;-;-
"0303020032 TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS";1;603,35;13;-;-
"0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS";3;1408,28;19;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";3;1586,85;19;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";13;5771,38;86;-;-
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";11;1909,86;37;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";3;1808,01;20;1;33,33
"0303060026 TRATAMENTO DE ARRITMIAS";6;2731,57;38;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";9;2219,15;47;-;-
"0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO";1;8829,53;44;-;-
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO";1;1001,77;26;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";33;54847,59;383;7;21,21
"0303060220 TRATAMENTO DE LINFADENITES INESPECIFICAS";1;458,75;15;-;-
"0303060239 TRATAMENTO DE MIOCARDIOPATIAS";1;5214,85;9;1;100,00
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";6;5191,35;85;1;16,67
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";3;817,00;12;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";2;1068,84;14;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";1;371,15;3;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";3;5595,99;28;1;33,33
"0303080051 TRATAMENTO DE DERMATITES E ECZEMAS";4;975,70;16;-;-
"0303080060 TRATAMENTO DE ESTAFILOCOCCIAS";2;652,29;6;-;-
"0303080078 TRATAMENTO DE ESTREPTOCOCCIAS";3;981,86;13;-;-
"0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS";1;190,70;4;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";50;6282,92;100;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";23;14043,45;150;-;-
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";12;70806,09;175;3;25,00
"0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES";2;418,93;5;-;-
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";20;15339,08;190;-;-
"0303150025 TRATAMENTO DE DOENCAS GLOMERULARES";2;771,14;11;-;-
"0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS";1;198,81;1;-;-
