INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Fev/2013
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.080 1.080 936.003,04 654.049,59 - - 281.953,45 - - 866,67 866,67 3.925 3,6 28 2,59
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 1 287,76 229,44 - - 58,32 - - 287,76 287,76 2 2,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 4 4 21.009,51 18.618,83 - - 2.390,68 - - 5.252,38 5.252,38 123 30,8 2 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 6 6 2.339,88 2.102,88 - - 237,00 - - 389,98 389,98 26 4,3 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 2 2 589,54 494,08 - - 95,46 - - 294,77 294,77 9 4,5 - -
0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09) 1 1 198,42 163,07 - - 35,35 - - 198,42 198,42 3 3,0 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 1 768,02 676,15 - - 91,87 - - 768,02 768,02 17 17,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 7 7 3.903,14 3.471,80 - - 431,34 - - 557,59 557,59 61 8,7 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 2 2 294,84 247,84 - - 47,00 - - 147,42 147,42 5 2,5 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 6 6 3.851,84 3.397,76 - - 454,08 - - 641,97 641,97 23 3,8 - -
0303060077 TRATAMENTO DE CHOQUE HIPOVOLEMICO 1 1 3.550,43 3.041,18 - - 509,25 - - 3.550,43 3.550,43 18 18,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 1 265,73 219,99 - - 45,74 - - 265,73 265,73 7 7,0 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 1 1.788,65 1.750,60 - - 38,05 - - 1.788,65 1.788,65 62 62,0 1 100,00
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 1 628,06 511,34 - - 116,72 - - 628,06 628,06 7 7,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 30 30 50.818,27 46.276,08 - - 4.542,19 - - 1.693,94 1.693,94 365 12,2 9 30,00
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 1 413,02 353,75 - - 59,27 - - 413,02 413,02 6 6,0 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 1 1.182,21 1.099,29 - - 82,92 - - 1.182,21 1.182,21 22 22,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 4 3.460,91 3.031,58 - - 429,33 - - 865,23 865,23 24 6,0 1 25,00
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 2 2 885,00 787,41 - - 97,59 - - 442,50 442,50 21 10,5 1 50,00
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 6 6 2.801,56 2.449,24 - - 352,32 - - 466,93 466,93 73 12,2 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 3 3 877,86 754,98 - - 122,88 - - 292,62 292,62 12 4,0 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 1 1 308,62 267,66 - - 40,96 - - 308,62 308,62 2 2,0 - -
0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO 2 2 677,80 551,70 - - 126,10 - - 338,90 338,90 24 12,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 10 10 1.700,54 1.476,44 - - 224,10 - - 170,05 170,05 29 2,9 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 85 85 13.014,07 10.616,73 - - 2.397,34 - - 153,11 153,11 277 3,3 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 14 14 33.124,62 29.333,84 - - 3.790,78 - - 2.366,04 2.366,04 164 11,7 3 21,43
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 16 16 42.246,91 37.233,91 - - 5.013,00 - - 2.640,43 2.640,43 140 8,8 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 8 8 5.436,07 4.778,31 - - 657,76 - - 679,51 679,51 73 9,1 - -
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 2 2 469,36 408,00 - - 61,36 - - 234,68 234,68 4 2,0 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 1 6.646,83 5.731,92 - - 914,91 - - 6.646,83 6.646,83 14 14,0 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 9 9 15.677,73 13.565,82 - - 2.111,91 - - 1.741,97 1.741,97 65 7,2 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 5 5 5.252,56 4.516,21 - - 736,35 - - 1.050,51 1.050,51 17 3,4 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 18 18 94.914,45 82.961,97 - - 11.952,48 - - 5.273,03 5.273,03 339 18,8 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 7 7 22.466,31 20.502,13 - - 1.964,18 - - 3.209,47 3.209,47 81 11,6 6 85,71
0304100021 TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO 1 1 1.118,93 1.026,70 - - 92,23 - - 1.118,93 1.118,93 15 15,0 - -
0305020013 TRATAMENTO DA PIELONEFRITE 4 4 966,42 846,92 - - 119,50 - - 241,61 241,61 15 3,8 - -
0305020021 TRATAMENTO DE CALCULOSE RENAL 1 1 240,29 205,78 - - 34,51 - - 240,29 240,29 6 6,0 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 2 2 1.601,99 1.507,42 - - 94,57 - - 801,00 801,00 29 14,5 - -
