INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Fev/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.074 1.065.332,70 3.456 29 2,70
0209040033 TRAQUEOSCOPIA 3 1.157,76 9 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 4 7.614,23 15 2 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 3.883,16 37 1 50,00
0303010118 TRATAMENTO DE HEPATITES VIRAIS 1 758,53 18 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 1 8.292,61 17 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 475,45 3 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 3 1.739,24 16 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 155,42 2 - -
0303040076 TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL 1 5.294,26 10 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 8 6.647,11 127 1 12,50
0303060050 TRATAMENTO DE CHOQUE ANAFILATICO 1 1.583,66 4 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 4 4.471,45 37 1 25,00
0303060174 TRATAMENTO DE HIPERTENSAO PULMONAR 1 7.986,33 14 1 100,00
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 196,54 4 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 27 40.555,97 224 4 14,81
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 2 1.057,04 14 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 3.438,71 38 1 25,00
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 299,00 5 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 4 1.782,82 38 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 14 2.863,24 42 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 66 8.685,70 193 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 25 58.203,66 242 4 16,00
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 4 5.995,69 17 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 4 12.283,23 49 2 50,00
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 6.218,91 13 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 2 1.195,31 11 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 5 1.400,70 11 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 19 86.463,53 220 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 7 45.306,73 113 3 42,86
0305020013 TRATAMENTO DA PIELONEFRITE 1 453,55 10 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 1 246,89 3 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 2 13.886,12 67 2 100,00
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 2 1.246,81 39 1 50,00
0310010039 PARTO NORMAL 410 257.852,53 641 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 64 49.093,29 127 - -
0403010101 DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE 1 4.038,30 41 1 100,00
0406010650 IMPLANTE DE MARCAPASSO DE CAMARA DUPLA TRANSVENOSO 1 8.750,33 11 1 100,00
0406020124 EMBOLECTOMIA ARTERIAL 1 1.626,95 1 - -
0406030022 ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS 7 54.460,17 25 - -
0406030030 ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT 8 42.059,85 34 - -
0406040052 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT) 1 2.552,02 2 - -
0406040060 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NAO RECOBERTO) 1 4.586,52 3 - -
0407010165 GASTROENTEROANASTOMOSE 1 918,18 2 1 100,00
0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO 2 1.532,12 3 - -
0407010335 TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO/ CONSERVADOR 1 1.846,37 1 - -
0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA) 2 5.026,30 13 - -
0407020101 COLOSTOMIA 1 2.913,41 7 1 100,00
0407020179 ENTERECTOMIA 1 1.421,39 13 - -
0407020306 JEJUNOSTOMIA / ILEOSTOMIA 1 1.509,80 19 - -
0407030026 COLECISTECTOMIA 12 8.746,98 13 - -
0407040021 DRENAGEM DE ABSCESSO SUBFRENICO 1 6.473,79 10 1 100,00
0407040064 HERNIOPLASTIA EPIGASTRICA 1 567,87 1 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 4.180,14 23 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 3 1.694,06 3 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 13 7.955,63 13 - -
0407040129 HERNIOPLASTIA UMBILICAL 7 3.154,93 7 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 661,39 8 - -
0407040200 PERITONIOSTOMIA COM TELA INORGANICA 2 2.908,50 40 - -
