INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jan/2020
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.026 1.164.108,16 3.711 22 2,14
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 1 9.348,91 10 1 100,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 713,80 8 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 10 3.203,70 77 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 555,72 3 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 3 3.124,38 12 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 8 7.356,69 52 2 25,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 486,99 7 - -
0303060140 TRATAMENTO DE EMBOLIA PULMONAR 2 14.858,37 23 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 212,28 2 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 1.436,40 16 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 25 59.860,67 264 2 8,00
0303070099 TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS 1 236,15 4 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 1 644,76 3 - -
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 345,07 3 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 2 708,74 16 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 1 849,07 15 - -
