INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jan/2025
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 871 871 1.085.609,68 827.895,60 - - 257.714,08 - - 1.246,39 1.246,39 3.192 3,7 17 1,95
0303010010 TRATAMENTO DE DENGUE CLASSICA 3 3 7.522,95 6.534,12 - - 988,83 - - 2.507,65 2.507,65 23 7,7 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2 2.955,82 2.631,38 - - 324,44 - - 1.477,91 1.477,91 4 2,0 1 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 1 1 776,18 721,20 - - 54,98 - - 776,18 776,18 12 12,0 - -
0303010070 TRATAMENTO DE FEBRES POR ARBOVIRUS E FEBRES HEMORRAGICAS VIRAIS 1 1 231,85 196,50 - - 35,35 - - 231,85 231,85 4 4,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 10 10 17.621,66 15.070,49 - - 2.551,17 - - 1.762,17 1.762,17 116 11,6 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 2 2 5.585,10 4.765,08 - - 820,02 - - 2.792,55 2.792,55 17 8,5 - -
0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE) 1 1 4.634,79 3.928,46 - - 706,33 - - 4.634,79 4.634,79 9 9,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 5 5 8.557,88 7.515,98 - - 1.041,90 - - 1.711,58 1.711,58 37 7,4 - -
0303040262 TRATAMENTO DE POLINEUROPATIAS 1 1 4.883,48 4.161,38 - - 722,10 - - 4.883,48 4.883,48 21 21,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 2 2 692,38 597,03 - - 95,35 - - 346,19 346,19 12 6,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 12 12 60.141,07 52.733,43 - - 7.407,64 - - 5.011,76 5.011,76 156 13,0 4 33,33
0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO 1 1 1.233,49 1.136,42 - - 97,07 - - 1.233,49 1.233,49 22 22,0 - -
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 1 666,24 587,62 - - 78,62 - - 666,24 666,24 13 13,0 - -
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 2 2 865,23 763,87 - - 101,36 - - 432,62 432,62 5 2,5 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 3 3 1.801,30 1.714,90 - - 86,40 - - 600,43 600,43 17 5,7 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 1 774,07 714,37 - - 59,70 - - 774,07 774,07 11 11,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 3 3 1.696,33 1.531,72 - - 164,61 - - 565,44 565,44 12 4,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 16 16 4.791,55 4.252,99 - - 538,56 - - 299,47 299,47 40 2,5 - -
