INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jul/2018
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.073 1.073 1.095.304,59 771.461,82 - - 323.842,77 - - 1.020,79 1.020,79 3.778 3,5 22 2,05
0209040033 TRAQUEOSCOPIA 1 1 846,29 633,99 - - 212,30 - - 846,29 846,29 8 8,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2 8.410,90 7.385,06 - - 1.025,84 - - 4.205,45 4.205,45 11 5,5 2 100,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 2 831,48 752,48 - - 79,00 - - 415,74 415,74 7 3,5 - -
0303010088 TRATAMENTO DE HANSENIASE 1 1 262,67 220,05 - - 42,62 - - 262,67 262,67 3 3,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 4 4 1.323,08 1.132,16 - - 190,92 - - 330,77 330,77 36 9,0 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 1 582,72 510,20 - - 72,52 - - 582,72 582,72 12 12,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 5 5 16.195,57 14.047,12 - - 2.148,45 - - 3.239,11 3.239,11 41 8,2 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 1 1.229,71 1.070,61 - - 159,10 - - 1.229,71 1.229,71 3 3,0 1 100,00
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 2 2 1.213,75 1.084,99 - - 128,76 - - 606,88 606,88 6 3,0 - -
0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA 1 1 799,31 726,96 - - 72,35 - - 799,31 799,31 33 33,0 - -
0303060026 TRATAMENTO DE ARRITMIAS 1 1 743,83 615,87 - - 127,96 - - 743,83 743,83 10 10,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 2 2 514,78 431,04 - - 83,74 - - 257,39 257,39 8 4,0 - -
0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO 3 3 3.190,21 2.945,11 - - 245,10 - - 1.063,40 1.063,40 13 4,3 1 33,33
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 2 7.129,06 6.149,82 - - 979,24 - - 3.564,53 3.564,53 26 13,0 2 100,00
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 21 21 28.823,75 26.660,96 - - 2.162,79 - - 1.372,56 1.372,56 234 11,1 - -
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 1 436,19 373,05 - - 63,14 - - 436,19 436,19 9 9,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 4 3.616,52 3.187,57 - - 428,95 - - 904,13 904,13 57 14,3 2 50,00
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 3 3 1.289,47 1.152,01 - - 137,46 - - 429,82 429,82 21 7,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 11 11 1.882,70 1.636,19 - - 246,51 - - 171,15 171,15 48 4,4 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 54 54 8.078,82 6.764,01 - - 1.314,81 - - 149,61 149,61 160 3,0 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 24 24 19.846,46 18.862,61 - - 983,85 - - 826,94 826,94 181 7,5 1 4,17
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 18 18 88.801,87 75.903,62 - - 12.898,25 - - 4.933,44 4.933,44 228 12,7 3 16,67
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 1 1 597,16 361,85 - - 235,31 - - 597,16 597,16 3 3,0 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 8 8 18.345,39 16.050,40 - - 2.294,99 - - 2.293,17 2.293,17 49 6,1 4 50,00
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 1 350,42 323,26 - - 27,16 - - 350,42 350,42 2 2,0 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 3 3 751,58 651,05 - - 100,53 - - 250,53 250,53 9 3,0 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 12 12 17.120,43 12.469,35 - - 4.651,08 - - 1.426,70 1.426,70 76 6,3 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 14 14 7.773,10 6.755,44 - - 1.017,66 - - 555,22 555,22 50 3,6 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 11 11 100.248,76 83.684,50 - - 16.564,26 - - 9.113,52 9.113,52 229 20,8 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 6 6 79.130,10 69.213,66 - - 9.916,44 - - 13.188,35 13.188,35 146 24,3 1 16,67
0305020013 TRATAMENTO DA PIELONEFRITE 6 6 2.545,47 2.274,00 - - 271,47 - - 424,25 424,25 39 6,5 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 2 2 3.748,29 3.407,45 - - 340,84 - - 1.874,14 1.874,14 11 5,5 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 3 3 3.534,90 3.280,71 - - 254,19 - - 1.178,30 1.178,30 56 18,7 1 33,33
0310010039 PARTO NORMAL 424 424 267.996,03 135.833,11 - - 132.162,92 - - 632,07 632,07 683 1,6 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 24 24 20.229,24 11.241,72 - - 8.987,52 - - 842,89 842,89 46 1,9 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 1 1 182,11 121,28 - - 60,83 - - 182,11 182,11 - - - -
0403010101 DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE 2 2 31.391,05 26.501,29 - - 4.889,76 - - 15.695,53 15.695,53 116 58,0 - -
