INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jun/2015
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.071 1.071 997.332,77 704.778,36 - - 292.554,41 - - 931,22 931,22 3.442 3,2 23 2,15
0303010010 TRATAMENTO DE DENGUE CLASSICA 2 2 838,77 718,26 - - 120,51 - - 419,38 419,38 8 4,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 3 3 5.172,34 4.676,74 - - 495,60 - - 1.724,11 1.724,11 32 10,7 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 3 3 998,70 880,20 - - 118,50 - - 332,90 332,90 7 2,3 - -
0303010118 TRATAMENTO DE HEPATITES VIRAIS 1 1 584,96 543,88 - - 41,08 - - 584,96 584,96 11 11,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 12 12 4.193,60 3.597,62 - - 595,98 - - 349,47 349,47 121 10,1 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 7 7 3.400,26 3.019,89 - - 380,37 - - 485,75 485,75 38 5,4 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 1 193,43 169,93 - - 23,50 - - 193,43 193,43 5 5,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 6 6 21.424,56 18.653,67 - - 2.770,89 - - 3.570,76 3.570,76 67 11,2 3 50,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 2 2 395,34 311,60 - - 83,74 - - 197,67 197,67 4 2,0 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 2 4.613,81 3.897,96 - - 715,85 - - 2.306,91 2.306,91 40 20,0 1 50,00
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 30 30 42.970,39 39.402,49 - - 3.567,90 - - 1.432,35 1.432,35 228 7,6 10 33,33
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 3 3 3.577,25 3.058,36 - - 518,89 - - 1.192,42 1.192,42 21 7,0 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 2 2 987,30 852,75 - - 134,55 - - 493,65 493,65 5 2,5 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 2 2 1.956,02 1.752,44 - - 203,58 - - 978,01 978,01 28 14,0 - -
