INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jun/2016
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 997 997 1.078.786,06 789.429,83 - - 289.356,23 - - 1.082,03 1.082,03 4.017 4,0 22 2,21
0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO) 1 1 138,36 89,50 - - 48,86 - - 138,36 138,36 - - - -
0209040033 TRAQUEOSCOPIA 1 1 747,08 503,82 - - 243,26 - - 747,08 747,08 10 10,0 - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 1 1 52,22 41,34 - - 10,88 - - 52,22 52,22 1 1,0 1 100,00
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 4 4 12.201,28 11.455,62 - - 745,66 - - 3.050,32 3.050,32 77 19,3 2 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 2 2.261,30 1.978,90 - - 282,40 - - 1.130,65 1.130,65 5 2,5 1 50,00
0303010118 TRATAMENTO DE HEPATITES VIRAIS 1 1 714,78 677,57 - - 37,21 - - 714,78 714,78 10 10,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 3 3 976,31 833,12 - - 143,19 - - 325,44 325,44 25 8,3 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 4 4 2.233,66 2.033,62 - - 200,04 - - 558,41 558,41 32 8,0 2 50,00
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 1 148,76 125,26 - - 23,50 - - 148,76 148,76 3 3,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 7 7 26.435,16 23.286,12 - - 3.149,04 - - 3.776,45 3.776,45 126 18,0 1 14,29
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 1 346,24 300,51 - - 45,73 - - 346,24 346,24 7 7,0 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 1 524,94 486,89 - - 38,05 - - 524,94 524,94 5 5,0 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 2 9.289,65 8.052,61 - - 1.237,04 - - 4.644,82 4.644,82 32 16,0 1 50,00
