INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jun/2019
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.089 1.121.917,93 3.819 20 1,84
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 572,09 8 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 1 356,90 4 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 13 4.012,13 83 - -
0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS 3 3.201,89 47 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 2 961,91 13 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 2 342,84 8 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 2.654,01 32 - -
0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO 1 2.246,38 8 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 2 4.764,70 14 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 3 7.244,79 15 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 29 33.806,06 169 4 13,79
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 1 763,31 20 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 3 5.463,73 76 2 66,67
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 5.062,44 31 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 2 1.149,23 12 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 2 818,36 14 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 18 4.666,85 73 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 44 7.596,55 194 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 21 23.625,71 134 3 14,29
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 14 63.100,35 161 3 21,43
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 3 868,28 13 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 14 43.689,44 122 4 28,57
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 12 3.583,92 42 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 6 1.703,24 16 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 20 148.103,54 378 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 10 106.834,60 193 2 20,00
0304100021 TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO 1 1.210,17 9 - -
0305020013 TRATAMENTO DA PIELONEFRITE 1 244,62 6 - -
0305020021 TRATAMENTO DE CALCULOSE RENAL 1 175,97 4 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 4 27.669,41 68 1 25,00
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 9 12.690,26 87 1 11,11
0310010039 PARTO NORMAL 413 257.855,71 682 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 37 27.963,85 66 - -
0406020124 EMBOLECTOMIA ARTERIAL 1 1.634,95 1 - -
0407020039 APENDICECTOMIA 1 759,94 7 - -
0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA) 1 5.613,19 7 - -
0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL 1 246,81 1 - -
0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO) 1 650,09 5 - -
0407020284 HEMORROIDECTOMIA 1 315,94 1 - -
0407030026 COLECISTECTOMIA 26 21.057,56 70 - -
0407040080 HERNIOPLASTIA INCISIONAL 6 4.038,52 8 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 5 3.798,10 6 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 7 4.646,57 7 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 7.336,29 14 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 3 2.563,13 35 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 2 2.111,32 19 - -
0409010561 URETEROLITOTOMIA 1 1.043,37 8 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 3 1.594,98 - - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 3 646,26 2 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 4 3.442,80 8 - -
0409060127 HISTERECTOMIA SUBTOTAL 1 1.116,63 2 - -
0409060135 HISTERECTOMIA TOTAL 8 6.330,63 37 - -
0409060186 LAQUEADURA TUBARIA 10 3.870,20 10 - -
0409060194 MIOMECTOMIA 1 552,94 1 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 1 920,06 4 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 4 1.921,72 8 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 189,56 7 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 35 42.175,37 126 - -
0411010034 OPERACAO CESARIANA 175 141.439,29 430 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 20 22.073,74 44 - -
0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO 2 442,57 3 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 51 12.742,55 79 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 2 1.006,36 3 - -
0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA 1 1.891,33 22 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 9 18.741,92 42 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
