 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Jun/2025
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0303010010 TRATAMENTO DE DENGUE CLASSICA";1;1525,86;4;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";3;8403,99;8;3;100,00
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";4;1504,38;38;-;-
"0303040092 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO)";1;13192,75;23;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";1;5562,99;9;1;100,00
"0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS";2;10380,39;29;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";2;482,25;7;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";9;18205,78;83;1;11,11
"0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO";1;703,28;15;-;-
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";3;1208,96;14;-;-
"0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA";1;335,18;4;-;-
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";1;4083,69;24;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";3;1961,21;19;-;-
"0303080051 TRATAMENTO DE DERMATITES E ECZEMAS";1;240,91;2;-;-
"0303080078 TRATAMENTO DE ESTREPTOCOCCIAS";1;292,62;6;-;-
"0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS";1;842,87;5;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";15;3617,02;65;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";57;10967,57;190;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";7;22646,51;71;1;14,29
"0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES";3;648,74;8;-;-
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";13;16000,66;146;-;-
"0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS";2;678,37;7;-;-
"0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL";7;24239,48;66;-;-
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";21;155797,34;344;2;9,52
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";28;10845,62;96;-;-
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";6;50746,90;117;-;-
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";16;184255,18;307;4;25,00
