INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Mai/2008
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 922 922 623.622,85 462.333,98 - - 161.288,87 - - 676,38 676,38 3.383 3,7 21 2,28
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA 4 4 221,08 174,60 - - 46,48 - - 55,27 55,27 5 1,3 - -
0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA 1 1 40,38 30,47 - - 9,91 - - 40,38 40,38 2 2,0 - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 2 2 88,44 66,68 - - 21,76 - - 44,22 44,22 2 1,0 - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 1 606,70 545,94 - - 60,76 - - 606,70 606,70 8 8,0 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 12 12 4.128,83 3.663,08 - - 465,75 - - 344,07 344,07 55 4,6 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 1 1 3.733,55 3.205,16 - - 528,39 - - 3.733,55 3.733,55 11 11,0 - -
0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09) 1 1 198,69 158,81 - - 39,88 - - 198,69 198,69 10 10,0 - -
0303030020 TRATAMENTO DE DESNUTRICAO 2 2 1.133,40 999,10 - - 134,30 - - 566,70 566,70 16 8,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 4 4 2.130,62 1.948,78 - - 181,84 - - 532,65 532,65 81 20,3 1 25,00
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 4 684,40 598,96 - - 85,44 - - 171,10 171,10 19 4,8 - -
0303040076 TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL 1 1 1.478,48 1.279,57 - - 198,91 - - 1.478,48 1.478,48 4 4,0 - -
0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE) 2 2 4.546,99 3.874,99 - - 672,00 - - 2.273,49 2.273,49 29 14,5 1 50,00
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 8 8 8.636,15 7.555,01 - - 1.081,14 - - 1.079,52 1.079,52 70 8,8 1 12,50
0303040211 TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA 1 1 120,22 88,62 - - 31,60 - - 120,22 120,22 3 3,0 - -
0303040289 TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA 2 2 638,25 521,27 - - 116,98 - - 319,13 319,13 14 7,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 14 14 6.683,39 5.635,39 - - 1.048,00 - - 477,38 477,38 74 5,3 1 7,14
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 3 3 1.984,47 1.687,02 - - 297,45 - - 661,49 661,49 16 5,3 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 3 3 14.380,26 12.318,81 - - 2.061,45 - - 4.793,42 4.793,42 57 19,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 35 35 34.552,06 32.108,09 - - 2.443,97 - - 987,20 987,20 344 9,8 4 11,43
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 5 5 1.918,03 1.551,79 - - 366,24 - - 383,61 383,61 30 6,0 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 10 10 3.865,85 3.395,38 - - 470,47 - - 386,59 386,59 54 5,4 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 1 2.513,68 2.214,72 - - 298,96 - - 2.513,68 2.513,68 19 19,0 1 100,00
0303070080 TRATAMENTO DE DOENCAS DO PERITONIO 1 1 285,11 244,76 - - 40,35 - - 285,11 285,11 4 4,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 2 2 1.386,74 1.257,59 - - 129,15 - - 693,37 693,37 25 12,5 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 1 1 290,50 250,55 - - 39,95 - - 290,50 290,50 3 3,0 - -
0303080051 TRATAMENTO DE DERMATITES E ECZEMAS 1 1 204,46 174,41 - - 30,05 - - 204,46 204,46 3 3,0 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 1 1 290,02 252,78 - - 37,24 - - 290,02 290,02 3 3,0 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 3 3 854,06 742,34 - - 111,72 - - 284,69 284,69 7 2,3 - -
0303090294 TRATAMENTO CONSERVADOR DE LUMBAGO OU DORSALGIA REFRATARIOS 2 2 464,18 405,77 - - 58,41 - - 232,09 232,09 15 7,5 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 3 3 440,81 379,70 - - 61,11 - - 146,94 146,94 5 1,7 - -
0303100036 TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO 2 2 249,60 199,64 - - 49,96 - - 124,80 124,80 4 2,0 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 36 36 3.801,46 3.016,30 - - 785,16 - - 105,60 105,60 66 1,8 - -
0303110040 TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO 1 1 4.640,68 4.064,75 - - 575,93 - - 4.640,68 4.640,68 10 10,0 1 100,00
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 29 29 24.355,64 22.381,02 - - 1.974,62 - - 839,85 839,85 238 8,2 4 13,79
0303140100 TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES 1 1 186,01 163,06 - - 22,95 - - 186,01 186,01 3 3,0 - -
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 10 10 29.739,91 26.109,30 - - 3.630,61 - - 2.973,99 2.973,99 123 12,3 1 10,00
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 6 6 1.320,58 1.165,21 - - 155,37 - - 220,10 220,10 20 3,3 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 30 30 25.037,34 22.022,22 - - 3.015,12 - - 834,58 834,58 226 7,5 1 3,33
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 1 1.580,27 1.356,13 - - 224,14 - - 1.580,27 1.580,27 9 9,0 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 5 5 6.266,29 5.412,11 - - 854,18 - - 1.253,26 1.253,26 41 8,2 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 10 10 42.918,18 37.318,84 - - 5.599,34 - - 4.291,82 4.291,82 150 15,0 1 10,00
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 1 1 7.034,46 6.264,40 - - 770,06 - - 7.034,46 7.034,46 14 14,0 1 100,00
0304100013 TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO 1 1 348,91 286,87 - - 62,04 - - 348,91 348,91 3 3,0 1 100,00
0305020013 TRATAMENTO DA PIELONEFRITE 9 9 2.282,85 2.011,32 - - 271,53 - - 253,65 253,65 39 4,3 - -
0305020021 TRATAMENTO DE CALCULOSE RENAL 1 1 192,98 168,64 - - 24,34 - - 192,98 192,98 4 4,0 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 2 2 1.273,62 1.191,16 - - 82,46 - - 636,81 636,81 38 19,0 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 2 2 3.227,17 2.811,71 - - 415,46 - - 1.613,59 1.613,59 25 12,5 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 1 1 182,47 154,65 - - 27,82 - - 182,47 182,47 3 3,0 - -
0310010039 PARTO NORMAL 243 243 110.575,17 63.181,01 - - 47.394,16 - - 455,04 455,04 358 1,5 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 18 18 12.218,63 7.426,19 - - 4.792,44 - - 678,81 678,81 37 2,1 - -
0401020070 EXERESE DE CISTO DERMOIDE 1 1 165,75 113,09 - - 52,66 - - 165,75 165,75 1 1,0 - -
0401020088 EXERESE DE CISTO SACRO-COCCIGEO 1 1 157,75 105,09 - - 52,66 - - 157,75 157,75 2 2,0 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 6 6 1.007,83 660,25 - - 347,58 - - 167,97 167,97 5 0,8 - -
0403020123 TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO 1 1 280,14 145,18 - - 134,96 - - 280,14 280,14 1 1,0 - -
0406020531 TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DE MEMBRO SUPERIOR UNILATERAL 5 5 3.070,26 1.727,16 - - 1.343,10 - - 614,05 614,05 20 4,0 1 20,00
0407010211 GASTROSTOMIA 1 1 608,00 493,50 - - 114,50 - - 608,00 608,00 1 1,0 - -
0407010270 TRATAMENTO CIRURGICO DE ACALASIA (CARDIOMIOPLASTIA) 1 1 2.133,88 1.852,06 - - 281,82 - - 2.133,88 2.133,88 3 3,0 - -
0407020039 APENDICECTOMIA 2 2 787,67 494,89 - - 292,78 - - 393,83 393,83 9 4,5 - -
0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA) 1 1 2.898,82 2.655,86 - - 242,96 - - 2.898,82 2.898,82 4 4,0 - -
0407020101 COLOSTOMIA 1 1 1.146,13 974,02 - - 172,11 - - 1.146,13 1.146,13 18 18,0 - -
0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL 1 1 217,81 144,49 - - 73,32 - - 217,81 217,81 1 1,0 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 2 2 435,76 289,12 - - 146,64 - - 217,88 217,88 2 1,0 - -
0407020284 HEMORROIDECTOMIA 4 4 1.106,96 653,00 - - 453,96 - - 276,74 276,74 4 1,0 - -
0407020306 JEJUNOSTOMIA / ILEOSTOMIA 1 1 1.116,68 950,14 - - 166,54 - - 1.116,68 1.116,68 19 19,0 1 100,00
0407030026 COLECISTECTOMIA 15 15 11.259,84 7.621,83 - - 3.638,01 - - 750,66 750,66 55 3,7 - -
0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA 1 1 638,39 446,65 - - 191,74 - - 638,39 638,39 10 10,0 - -
0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL 2 2 770,62 559,44 - - 211,18 - - 385,31 385,31 5 2,5 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 30 30 17.512,07 13.504,07 - - 4.008,00 - - 583,74 583,74 35 1,2 - -
0407040129 HERNIOPLASTIA UMBILICAL 1 1 362,88 238,84 - - 124,04 - - 362,88 362,88 1 1,0 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 2 1.392,04 1.137,52 - - 254,52 - - 696,02 696,02 12 6,0 - -
0408020377 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METACARPIANOS 1 1 258,26 146,75 - - 111,51 - - 258,26 258,26 1 1,0 - -
0408020431 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA UNICA DO RADIO / DA ULNA 2 2 681,38 489,50 - - 191,88 - - 340,69 340,69 2 1,0 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 3 3 9.705,81 8.831,25 - - 874,56 - - 3.235,27 3.235,27 17 5,7 - -
0408050039 ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR 1 1 1.867,59 1.674,39 - - 193,20 - - 1.867,59 1.867,59 20 20,0 - -
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 1 1 1.961,36 1.746,25 - - 215,11 - - 1.961,36 1.961,36 3 3,0 - -
0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR 1 1 2.188,27 1.921,12 - - 267,15 - - 2.188,27 2.188,27 21 21,0 - -
0408050802 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA REGIAO TROCANTER 1 1 1.219,42 994,15 - - 225,27 - - 1.219,42 1.219,42 7 7,0 - -
0408050861 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA DIAFISE TIBIAL 2 2 3.832,82 3.441,72 - - 391,10 - - 1.916,41 1.916,41 13 6,5 - -
0408050870 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO/ PERDA OSSEA DA METAFISE TIBIAL 1 1 1.713,61 1.535,84 - - 177,77 - - 1.713,61 1.713,61 3 3,0 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 1 649,74 455,29 - - 194,45 - - 649,74 649,74 2 2,0 - -
0408060360 RETIRADA DE FIXADOR EXTERNO 1 1 151,67 95,71 - - 55,96 - - 151,67 151,67 - - - -
0408060379 RETIRADA DE PLACA E/OU PARAFUSOS 1 1 225,16 163,60 - - 61,56 - - 225,16 225,16 1 1,0 - -
0409010090 CISTOSTOMIA 1 1 661,85 534,94 - - 126,91 - - 661,85 661,85 10 10,0 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 3 3 1.687,96 791,95 - - 896,01 - - 562,65 562,65 12 4,0 - -
0409040096 EXPLORACAO CIRURGICA DA BOLSA ESCROTAL 1 1 196,55 96,57 - - 99,98 - - 196,55 196,55 1 1,0 - -
0409060020 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR C/ AMPUTACAO DE COLO 1 1 388,04 223,53 - - 164,51 - - 388,04 388,04 2 2,0 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 1 1 401,07 275,20 - - 125,87 - - 401,07 401,07 1 1,0 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 1 1 143,85 91,86 - - 51,99 - - 143,85 143,85 1 1,0 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 1 1 418,17 251,43 - - 166,74 - - 418,17 418,17 1 1,0 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 2 2 1.365,44 894,90 - - 470,54 - - 682,72 682,72 4 2,0 - -
0409060127 HISTERECTOMIA SUBTOTAL 1 1 490,37 316,79 - - 173,58 - - 490,37 490,37 2 2,0 - -
0409060135 HISTERECTOMIA TOTAL 13 13 7.358,26 4.738,11 - - 2.620,15 - - 566,02 566,02 30 2,3 - -
0409060186 LAQUEADURA TUBARIA 19 19 5.964,48 3.564,02 - - 2.400,46 - - 313,92 313,92 18 0,9 - -
0409060194 MIOMECTOMIA 1 1 475,66 307,51 - - 168,15 - - 475,66 475,66 1 1,0 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 2 2 939,93 663,83 - - 276,10 - - 469,97 469,97 5 2,5 - -
0409060232 SALPINGECTOMIA UNI / BILATERAL 1 1 420,44 281,47 - - 138,97 - - 420,44 420,44 2 2,0 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 3 3 1.241,54 766,16 - - 475,38 - - 413,85 413,85 8 2,7 - -
0409070270 TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL 1 1 321,85 188,49 - - 133,36 - - 321,85 321,85 3 3,0 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 1 234,10 160,77 - - 73,33 - - 234,10 234,10 2 2,0 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 26 26 26.407,49 17.236,95 - - 9.170,54 - - 1.015,67 1.015,67 122 4,7 - -
0411010034 OPERACAO CESARIANA 176 176 117.652,30 74.278,20 - - 43.374,10 - - 668,48 668,48 398 2,3 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 3 3 2.439,28 1.575,70 - - 863,58 - - 813,09 813,09 6 2,0 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 27 27 5.261,51 3.450,89 - - 1.810,62 - - 194,87 194,87 39 1,4 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 1 1 458,18 335,61 - - 122,57 - - 458,18 458,18 2 2,0 - -
0412040174 TORACOTOMIA EXPLORADORA 1 1 1.238,14 1.012,66 - - 225,48 - - 1.238,14 1.238,14 16 16,0 - -
Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.
COPIA COMO .CSV
COPIA PARA TABWIN
