 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Mai/2015
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA)";1;158,98;1;-;-
"0209040033 TRAQUEOSCOPIA";2;1708,72;4;1;50,00
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";2;1913,27;16;1;50,00
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";2;909,36;6;-;-
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";14;4446,78;103;-;-
"0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09)";1;14657,47;55;1;100,00
"0303030038 TRATAMENTO DE DIABETES MELLITUS";2;1282,73;28;-;-
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";1;299,66;10;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";4;13162,37;29;3;75,00
"0303040203 TRATAMENTO DE DOENCAS NEURODEGENERATIVAS";1;407,17;2;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";22;28046,83;167;3;13,64
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";3;10043,78;65;2;66,67
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";3;1860,92;26;-;-
"0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO";1;332,29;7;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";1;371,64;6;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";16;2819,19;55;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";43;5979,32;130;-;-
