INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Mar/2011
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.017 896.412,73 3.298 29 2,85
0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA 2 80,76 1 - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 1 68,42 - - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 3 1.181,95 9 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2.142,29 14 1 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 6 3.292,60 25 1 16,67
0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS 2 1.492,76 9 1 50,00
0303030020 TRATAMENTO DE DESNUTRICAO 3 1.755,71 25 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 9 12.799,74 100 1 11,11
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 1.385,70 37 1 25,00
0303030054 TRATAMENTO DE TRANSTORNOS DA GLANDULA TIREOIDE 1 230,31 6 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 6 11.452,05 97 4 66,67
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 1 1.130,72 4 - -
0303060026 TRATAMENTO DE ARRITMIAS 3 738,95 10 - -
0303060077 TRATAMENTO DE CHOQUE HIPOVOLEMICO 1 1.022,21 2 1 100,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 9 2.062,43 33 - -
0303060140 TRATAMENTO DE EMBOLIA PULMONAR 1 2.078,33 2 1 100,00
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 4 9.831,58 34 1 25,00
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 21 18.494,71 135 3 14,29
0303060220 TRATAMENTO DE LINFADENITES INESPECIFICAS 1 361,48 13 - -
0303060239 TRATAMENTO DE MIOCARDIOPATIAS 1 278,55 2 - -
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 4 8.210,79 32 1 25,00
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 1 411,17 7 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 5 2.104,00 28 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 513,83 2 - -
0303070099 TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS 1 220,15 2 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 2 806,46 8 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 3 1.248,92 23 - -
0303080051 TRATAMENTO DE DERMATITES E ECZEMAS 1 240,91 2 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 3 917,86 8 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 1 324,62 4 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 1 154,30 1 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 59 7.088,01 134 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 12 13.865,50 67 2 16,67
0303140089 TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO 1 5.221,31 17 1 100,00
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 17 59.325,60 183 4 23,53
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 1 210,48 6 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 16 10.668,11 77 1 6,25
0303150025 TRATAMENTO DE DOENCAS GLOMERULARES 1 371,54 5 - -
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 2 421,82 3 - -
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 4 8.366,61 34 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 3.717,36 9 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 5 15.525,21 51 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 1 270,54 1 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 23 122.068,26 474 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 6 36.266,66 176 3 50,00
0305020013 TRATAMENTO DA PIELONEFRITE 3 982,30 22 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 6 3.504,05 41 1 16,67
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 2 446,66 9 - -
0310010039 PARTO NORMAL 405 253.881,60 613 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 15 11.547,29 21 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 2 340,22 2 - -
0407010211 GASTROSTOMIA 1 703,76 2 - -
0407020039 APENDICECTOMIA 2 877,24 8 - -
0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO) 2 1.300,18 11 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 4 1.040,48 8 - -
0407020284 HEMORROIDECTOMIA 3 1.451,94 4 - -
0407030026 COLECISTECTOMIA 28 21.506,13 56 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 1 559,87 1 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 2.341,68 8 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 9 4.843,71 14 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 4.764,41 7 1 100,00
0408050110 QUADRICEPSPLASTIA 1 1.602,18 3 - -
0408050489 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE) 1 2.643,16 9 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 4 2.777,06 16 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 2 406,84 1 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 1 914,70 2 - -
0409060135 HISTERECTOMIA TOTAL 9 6.700,57 23 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 4 2.223,44 5 - -
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE 1 248,68 1 - -
0409070190 MARSUPIALIZACAO DE GLANDULA DE BARTOLIN 2 279,92 3 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 1 171,51 2 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 37 44.541,39 119 - -
0411010034 OPERACAO CESARIANA 167 134.930,25 296 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 6 6.540,70 8 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 35 8.034,96 50 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 3 1.449,54 5 - -
0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA 1 1.684,61 5 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 1 750,43 11 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
