INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Mar/2016
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 950 950 1.121.696,50 847.239,82 - - 274.456,68 - - 1.180,73 1.180,73 3.876 4,1 30 3,16
0209040033 TRAQUEOSCOPIA 2 2 6.201,73 5.079,78 - - 1.121,95 - - 3.100,86 3.100,86 17 8,5 1 50,00
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 1 1.108,60 1.031,26 - - 77,34 - - 1.108,60 1.108,60 7 7,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 1 1 976,25 904,03 - - 72,22 - - 976,25 976,25 3 3,0 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 3 3 2.178,78 2.017,71 - - 161,07 - - 726,26 726,26 27 9,0 1 33,33
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 6 6 2.116,80 1.818,81 - - 297,99 - - 352,80 352,80 63 10,5 - -
0303020032 TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS 1 1 489,46 449,81 - - 39,65 - - 489,46 489,46 10 10,0 - -
0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS 1 1 318,79 285,85 - - 32,94 - - 318,79 318,79 1 1,0 1 100,00
0303030020 TRATAMENTO DE DESNUTRICAO 2 2 1.125,64 980,60 - - 145,04 - - 562,82 562,82 10 5,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 1 1 420,82 370,81 - - 50,01 - - 420,82 420,82 4 4,0 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 2 2 467,29 420,29 - - 47,00 - - 233,65 233,65 6 3,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 5 5 5.388,05 4.957,79 - - 430,26 - - 1.077,61 1.077,61 79 15,8 1 20,00
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 1 1 112,83 85,31 - - 27,52 - - 112,83 112,83 - - 1 100,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 1 189,67 147,80 - - 41,87 - - 189,67 189,67 2 2,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 26 26 40.088,76 36.752,66 - - 3.336,10 - - 1.541,88 1.541,88 215 8,3 6 23,08
0303060247 TRATAMENTO DE OUTRAS VASCULOPATIAS 2 2 856,43 772,67 - - 83,76 - - 428,22 428,22 6 3,0 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 1 659,67 599,97 - - 59,70 - - 659,67 659,67 6 6,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 1 1 681,92 605,45 - - 76,47 - - 681,92 681,92 8 8,0 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 3 3 5.441,83 5.040,91 - - 400,92 - - 1.813,94 1.813,94 48 16,0 1 33,33
0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO 1 1 1.735,12 1.491,89 - - 243,23 - - 1.735,12 1.735,12 7 7,0 1 100,00
0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS 1 1 388,21 354,59 - - 33,62 - - 388,21 388,21 4 4,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 17 17 2.888,46 2.503,62 - - 384,84 - - 169,91 169,91 68 4,0 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 55 55 7.776,20 6.363,87 - - 1.412,33 - - 141,39 141,39 202 3,7 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 16 16 39.922,93 35.724,91 - - 4.198,02 - - 2.495,18 2.495,18 230 14,4 4 25,00
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 9 9 36.224,85 31.756,65 - - 4.468,20 - - 4.024,98 4.024,98 109 12,1 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 17 17 32.738,17 28.690,83 - - 4.047,34 - - 1.925,77 1.925,77 162 9,5 2 11,76
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 1 247,01 219,85 - - 27,16 - - 247,01 247,01 3 3,0 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 1 5.217,02 4.505,51 - - 711,51 - - 5.217,02 5.217,02 11 11,0 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 7 7 4.448,87 3.999,32 - - 449,55 - - 635,55 635,55 88 12,6 - -
