 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Mar/2023
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA)";1;2996,92;16;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";1;5792,22;12;1;100,00
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";2;1517,78;27;-;-
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";10;27266,15;119;1;10,00
"0303030020 TRATAMENTO DE DESNUTRICAO";2;4087,48;62;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";4;6934,56;48;-;-
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";1;506,60;6;1;100,00
"0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA";1;18125,32;28;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";2;503,20;7;-;-
"0303060158 TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR";1;3231,94;36;-;-
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO";1;596,12;1;1;100,00
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";19;74922,32;278;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";2;9801,23;36;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";1;674,50;7;-;-
"0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO";1;754,53;8;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";3;10609,93;35;-;-
"0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO";1;201,62;6;-;-
