INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Nov/2011
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.040 1.040 917.841,99 647.011,69 - - 270.830,30 - - 882,54 882,54 3.449 3,3 20 1,92
0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA 1 1 40,38 30,47 - - 9,91 - - 40,38 40,38 - - - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 1 1 52,22 41,34 - - 10,88 - - 52,22 52,22 1 1,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 3 3 13.584,14 12.214,88 - - 1.369,26 - - 4.528,05 4.528,05 42 14,0 1 33,33
0303010053 TRATAMENTO DE OUTRAS DOENCAS DEVIDAS A PROTOZOARIOS (B55 A B64) 1 1 298,86 261,32 - - 37,54 - - 298,86 298,86 12 12,0 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 16 16 5.728,58 5.096,58 - - 632,00 - - 358,04 358,04 57 3,6 - -
0303010088 TRATAMENTO DE HANSENIASE 1 1 237,27 194,65 - - 42,62 - - 237,27 237,27 3 3,0 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 1 532,89 460,37 - - 72,52 - - 532,89 532,89 12 12,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 14 14 6.225,20 5.490,23 - - 734,97 - - 444,66 444,66 74 5,3 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 10 10 1.716,57 1.477,70 - - 238,87 - - 171,66 171,66 24 2,4 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 2 2 2.832,91 2.500,75 - - 332,16 - - 1.416,45 1.416,45 20 10,0 - -
0303040262 TRATAMENTO DE POLINEUROPATIAS 1 1 457,35 372,99 - - 84,36 - - 457,35 457,35 12 12,0 - -
0303060026 TRATAMENTO DE ARRITMIAS 1 1 460,23 403,94 - - 56,29 - - 460,23 460,23 8 8,0 - -
