INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Nov/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.061 1.143.768,67 3.592 20 1,89
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 340,06 5 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2.878,59 32 1 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 1 426,16 8 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 3 1.012,37 27 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 7 4.477,54 66 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 188,82 3 1 100,00
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 39.616,50 142 1 25,00
0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA 1 413,65 9 - -
0303060042 TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA 1 861,20 2 - -
0303060069 TRATAMENTO DE CHOQUE CARDIOGENICO 1 449,49 1 1 100,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 3 693,59 10 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 185,04 4 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 3 12.341,98 20 1 33,33
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 25 49.392,00 262 5 20,00
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 939,80 1 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 622,23 5 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 3 2.853,17 27 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 4 1.232,85 13 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 18 3.225,82 69 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 61 8.593,33 226 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 11 10.431,71 122 - -
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 7 23.329,76 62 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 8 9.252,60 41 - -
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 198,81 1 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 3 810,91 17 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 8 2.308,39 25 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 6 8.115,47 52 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 13 93.640,96 286 1 7,69
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 11 60.376,56 175 5 45,45
0305020013 TRATAMENTO DA PIELONEFRITE 3 1.399,20 20 - -
