INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Nov/2019
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.025 1.025 1.131.251,92 824.904,80 - - 306.347,12 - - 1.103,66 1.103,66 3.659 3,6 16 1,56
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2 7.402,83 6.851,59 - - 551,24 - - 3.701,41 3.701,41 13 6,5 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 2 1.922,91 1.743,29 - - 179,62 - - 961,45 961,45 48 24,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 3 3 992,31 849,12 - - 143,19 - - 330,77 330,77 27 9,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 3 3 10.713,17 9.548,15 - - 1.165,02 - - 3.571,06 3.571,06 50 16,7 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 1 155,42 131,92 - - 23,50 - - 155,42 155,42 2 2,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 5 5 3.134,56 2.812,66 - - 321,90 - - 626,91 626,91 24 4,8 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 2 2 799,89 716,15 - - 83,74 - - 399,94 399,94 9 4,5 - -
0303060140 TRATAMENTO DE EMBOLIA PULMONAR 1 1 843,03 783,63 - - 59,40 - - 843,03 843,03 7 7,0 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 1 5.692,91 4.909,06 - - 783,85 - - 5.692,91 5.692,91 10 10,0 1 100,00
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 1 1.293,83 1.054,91 - - 238,92 - - 1.293,83 1.293,83 4 4,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 37 37 61.340,47 56.020,81 - - 5.319,66 - - 1.657,85 1.657,85 282 7,6 5 13,51
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 1 1 186,06 159,84 - - 26,22 - - 186,06 186,06 3 3,0 - -
