INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2009
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 977 977 835.235,25 604.589,71 - - 230.645,54 - - 854,90 854,90 3.590 3,7 28 2,87
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA 1 1 47,27 35,65 - - 11,62 - - 47,27 47,27 - - - -
0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA 3 3 121,14 91,41 - - 29,73 - - 40,38 40,38 3 1,0 - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 3 3 156,86 124,22 - - 32,64 - - 52,29 52,29 1 0,3 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 5 5 17.994,71 16.074,21 - - 1.920,50 - - 3.598,94 3.598,94 78 15,6 3 60,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 22 22 8.394,96 7.522,09 - - 872,87 - - 381,59 381,59 96 4,4 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 1 470,78 398,26 - - 72,52 - - 470,78 470,78 3 3,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 7 7 5.564,26 4.923,64 - - 640,62 - - 794,89 794,89 62 8,9 1 14,29
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 4 1.424,67 1.230,05 - - 194,62 - - 356,17 356,17 40 10,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 6 6 15.815,50 13.879,57 - - 1.935,93 - - 2.635,92 2.635,92 99 16,5 2 33,33
0303060018 TRATAMENTO DE ANEURISMA DA AORTA 1 1 1.866,24 1.616,79 - - 249,45 - - 1.866,24 1.866,24 4 4,0 1 100,00
0303060026 TRATAMENTO DE ARRITMIAS 5 5 1.208,20 926,75 - - 281,45 - - 241,64 241,64 22 4,4 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 10 10 4.800,04 4.067,57 - - 732,47 - - 480,00 480,00 56 5,6 2 20,00
