INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2012
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.087 1.087 898.209,95 623.498,40 - - 274.711,55 - - 826,32 826,32 3.470 3,2 23 2,12
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA 1 1 47,27 35,65 - - 11,62 - - 47,27 47,27 - - - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 2 2 240,05 218,29 - - 21,76 - - 120,03 120,03 6 3,0 - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 1 359,45 301,13 - - 58,32 - - 359,45 359,45 5 5,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 1 1 8.111,42 7.090,00 - - 1.021,42 - - 8.111,42 8.111,42 25 25,0 1 100,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 6 6 2.175,74 1.938,74 - - 237,00 - - 362,62 362,62 20 3,3 - -
0303010118 TRATAMENTO DE HEPATITES VIRAIS 2 2 881,57 807,15 - - 74,42 - - 440,78 440,78 7 3,5 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 1 1 314,77 267,04 - - 47,73 - - 314,77 314,77 7 7,0 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 1 454,78 382,26 - - 72,52 - - 454,78 454,78 1 1,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 3 3 2.105,01 1.889,19 - - 215,82 - - 701,67 701,67 32 10,7 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 2 2 302,84 255,84 - - 47,00 - - 151,42 151,42 3 1,5 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 7 7 4.867,85 4.281,59 - - 586,26 - - 695,41 695,41 28 4,0 1 14,29
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 1 1 157,53 130,01 - - 27,52 - - 157,53 157,53 4 4,0 - -
0303060026 TRATAMENTO DE ARRITMIAS 1 1 235,65 179,36 - - 56,29 - - 235,65 235,65 2 2,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 3 3 8.767,75 7.692,94 - - 1.074,81 - - 2.922,58 2.922,58 25 8,3 1 33,33
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 2 1.819,02 1.585,58 - - 233,44 - - 909,51 909,51 36 18,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 31 31 32.273,78 29.945,87 - - 2.327,91 - - 1.041,09 1.041,09 231 7,5 5 16,13
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 1 1 322,48 271,80 - - 50,68 - - 322,48 322,48 8 8,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 2 2 852,57 745,41 - - 107,16 - - 426,29 426,29 6 3,0 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 5 5 1.797,82 1.588,07 - - 209,75 - - 359,56 359,56 30 6,0 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 1 1 318,02 277,06 - - 40,96 - - 318,02 318,02 5 5,0 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 2 2 625,24 543,32 - - 81,92 - - 312,62 312,62 5 2,5 - -
0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO 1 1 182,57 142,74 - - 39,83 - - 182,57 182,57 4 4,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 8 8 1.547,95 1.364,80 - - 183,15 - - 193,49 193,49 44 5,5 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 120 120 14.418,06 11.496,69 - - 2.921,37 - - 120,15 120,15 321 2,7 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 26 26 29.940,86 27.364,55 - - 2.576,31 - - 1.151,57 1.151,57 201 7,7 3 11,54
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 13 13 51.896,67 45.402,44 - - 6.494,23 - - 3.992,05 3.992,05 167 12,8 3 23,08
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 1 1 219,13 192,62 - - 26,51 - - 219,13 219,13 4 4,0 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 17 17 22.209,31 19.317,96 - - 2.891,35 - - 1.306,43 1.306,43 83 4,9 2 11,76
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 1 223,01 195,85 - - 27,16 - - 223,01 223,01 5 5,0 - -
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 2 2 691,10 610,39 - - 80,71 - - 345,55 345,55 13 6,5 - -
