INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2016
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 987 987 1.118.532,14 847.873,58 - - 270.658,56 - - 1.133,26 1.133,26 3.610 3,7 20 2,03
0209040033 TRAQUEOSCOPIA 1 1 383,24 170,94 - - 212,30 - - 383,24 383,24 1 1,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 4 4 19.258,76 17.207,08 - - 2.051,68 - - 4.814,69 4.814,69 39 9,8 2 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 6 6 4.598,56 4.164,19 - - 434,37 - - 766,43 766,43 85 14,2 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 3 3 944,31 801,12 - - 143,19 - - 314,77 314,77 21 7,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 4 4 4.624,13 4.061,88 - - 562,25 - - 1.156,03 1.156,03 27 6,8 1 25,00
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 4 713,30 619,30 - - 94,00 - - 178,32 178,32 10 2,5 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 6 6 19.070,06 16.742,81 - - 2.327,25 - - 3.178,34 3.178,34 64 10,7 2 33,33
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 1 1 120,83 93,31 - - 27,52 - - 120,83 120,83 1 1,0 - -
0303060026 TRATAMENTO DE ARRITMIAS 1 1 739,77 615,68 - - 124,09 - - 739,77 739,77 3 3,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 2 2 1.021,24 922,35 - - 98,89 - - 510,62 510,62 11 5,5 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 1 3.948,70 3.366,91 - - 581,79 - - 3.948,70 3.948,70 20 20,0 - -
0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA 1 1 509,14 458,51 - - 50,63 - - 509,14 509,14 1 1,0 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 34 34 52.247,88 47.825,90 - - 4.421,98 - - 1.536,70 1.536,70 291 8,6 4 11,76
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 1 3.576,89 3.056,42 - - 520,47 - - 3.576,89 3.576,89 10 10,0 - -
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 2 2 1.334,51 1.194,45 - - 140,06 - - 667,25 667,25 20 10,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 2 2 1.547,30 1.370,81 - - 176,49 - - 773,65 773,65 22 11,0 - -
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 1 427,35 384,69 - - 42,66 - - 427,35 427,35 8 8,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 13 13 2.389,83 2.098,50 - - 291,33 - - 183,83 183,83 55 4,2 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 66 66 9.597,97 7.890,79 - - 1.707,18 - - 145,42 145,42 271 4,1 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 11 11 15.826,84 14.270,41 - - 1.556,43 - - 1.438,80 1.438,80 138 12,5 1 9,09
0303140070 TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE 1 1 207,89 172,73 - - 35,16 - - 207,89 207,89 5 5,0 - -
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 10 10 19.722,14 17.458,07 - - 2.264,07 - - 1.972,21 1.972,21 55 5,5 2 20,00
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 1 1 195,13 168,62 - - 26,51 - - 195,13 195,13 1 1,0 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 5 5 9.510,28 8.326,44 - - 1.183,84 - - 1.902,06 1.902,06 77 15,4 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 9 9 2.818,40 2.469,29 - - 349,11 - - 313,16 313,16 40 4,4 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 4 4 1.106,16 951,00 - - 155,16 - - 276,54 276,54 7 1,8 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 20 20 115.807,21 101.133,01 - - 14.674,20 - - 5.790,36 5.790,36 347 17,4 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 9 9 55.085,20 49.092,34 - - 5.992,86 - - 6.120,58 6.120,58 196 21,8 4 44,44
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 1 1 1.256,57 1.137,69 - - 118,88 - - 1.256,57 1.256,57 27 27,0 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 3 3 3.122,52 2.862,18 - - 260,34 - - 1.040,84 1.040,84 29 9,7 - -
0308020022 TRATAMENTO DE EFEITOS DO CONTATO C/ ANIMAIS E PLANTAS VENENOSOS 1 1 279,57 234,88 - - 44,69 - - 279,57 279,57 12 12,0 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 11 11 4.297,69 3.848,67 - - 449,02 - - 390,70 390,70 90 8,2 - -
0310010039 PARTO NORMAL 299 299 185.580,75 92.634,18 - - 92.946,57 - - 620,67 620,67 448 1,5 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 15 15 11.475,48 5.907,38 - - 5.568,10 - - 765,03 765,03 26 1,7 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 2 2 388,22 266,56 - - 121,66 - - 194,11 194,11 2 1,0 - -
0406010650 IMPLANTE DE MARCAPASSO DE CAMARA DUPLA TRANSVENOSO 1 1 9.420,29 8.727,21 - - 693,08 - - 9.420,29 9.420,29 1 1,0 1 100,00
0406010676 IMPLANTE DE MARCAPASSO DE CAMARA UNICA TRANSVENOSO 1 1 7.644,43 7.006,30 - - 638,13 - - 7.644,43 7.644,43 17 17,0 - -
0406020566 TRATAMENTO CIRURGICO DE VARIZES (BILATERAL) 3 3 1.754,12 552,92 - - 1.201,20 - - 584,71 584,71 3 1,0 - -
0406030022 ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS 9 9 74.582,71 68.361,75 - - 6.220,96 - - 8.286,97 8.286,97 34 3,8 - -
0406030030 ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT 9 9 45.290,18 39.530,42 - - 5.759,76 - - 5.032,24 5.032,24 60 6,7 - -
0406040028 ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (COM STENT) 2 2 9.834,78 8.660,30 - - 1.174,48 - - 4.917,39 4.917,39 3 1,5 - -
0406040052 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT) 5 5 11.592,22 9.595,42 - - 1.996,80 - - 2.318,44 2.318,44 14 2,8 - -
0406040060 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NAO RECOBERTO) 3 3 13.774,19 12.508,31 - - 1.265,88 - - 4.591,40 4.591,40 3 1,0 - -
0406040095 ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO OU TRONCOS SUPRA-AORTICOS (COM STENT NAO RECOBERTO) 1 1 6.516,59 6.117,23 - - 399,36 - - 6.516,59 6.516,59 9 9,0 - -
0406040168 CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL E ILIACAS COM ENDOPROTESE BIF 1 1 27.216,43 26.561,39 - - 655,04 - - 27.216,43 27.216,43 2 2,0 - -
0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL 1 1 246,81 166,16 - - 80,65 - - 246,81 246,81 1 1,0 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 2 2 508,24 346,94 - - 161,30 - - 254,12 254,12 2 1,0 - -
0407020470 TRATAMENTO CIRURGICO DE PROLAPSO ANAL 1 1 207,64 134,31 - - 73,33 - - 207,64 207,64 1 1,0 - -
0407030026 COLECISTECTOMIA 28 28 20.477,45 13.477,67 - - 6.999,78 - - 731,34 731,34 46 1,6 - -
0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL 1 1 462,03 345,88 - - 116,15 - - 462,03 462,03 7 7,0 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 3 3 1.781,61 1.331,37 - - 450,24 - - 593,87 593,87 3 1,0 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 4 2.741,68 2.150,92 - - 590,76 - - 685,42 685,42 6 1,5 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 1 1 788,02 641,03 - - 146,99 - - 788,02 788,02 2 2,0 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 16 16 11.008,49 8.645,52 - - 2.362,97 - - 688,03 688,03 22 1,4 - -
0407040129 HERNIOPLASTIA UMBILICAL 6 6 2.617,94 1.799,30 - - 818,64 - - 436,32 436,32 6 1,0 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 1 1.358,53 1.150,74 - - 207,79 - - 1.358,53 1.358,53 1 1,0 1 100,00
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 1 531,89 425,44 - - 106,45 - - 531,89 531,89 8 8,0 - -
0408020385 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA SUPRACONDILIANA DO UMERO 1 1 812,34 677,66 - - 134,68 - - 812,34 812,34 4 4,0 - -
0408020407 TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO 1 1 295,80 201,49 - - 94,31 - - 295,80 295,80 2 2,0 - -
0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR 1 1 1.549,80 1.302,00 - - 247,80 - - 1.549,80 1.549,80 4 4,0 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 1 1 2.878,49 2.495,09 - - 383,40 - - 2.878,49 2.878,49 8 8,0 - -
0408060190 OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 1 666,38 481,28 - - 185,10 - - 666,38 666,38 1 1,0 1 100,00
0408060336 RETIRADA DE CORPO ESTRANHO INTRA-OSSEO 1 1 140,33 88,90 - - 51,43 - - 140,33 140,33 1 1,0 - -
0408060557 TRATAMENTO CIRURGICO DE ARTRITE INFECCIOSA (GRANDES E MEDIAS ARTICULACOES) 1 1 458,30 304,17 - - 154,13 - - 458,30 458,30 8 8,0 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 2 2 935,32 658,40 - - 276,92 - - 467,66 467,66 2 1,0 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 1 1 215,42 158,23 - - 57,19 - - 215,42 215,42 1 1,0 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 4 4 3.322,80 2.287,60 - - 1.035,20 - - 830,70 830,70 7 1,8 - -
0409060135 HISTERECTOMIA TOTAL 4 4 2.752,12 1.865,28 - - 886,84 - - 688,03 688,03 8 2,0 - -
0409060186 LAQUEADURA TUBARIA 8 8 3.096,16 1.984,40 - - 1.111,76 - - 387,02 387,02 8 1,0 - -
0409070149 EXERESE DE CISTO VAGINAL 1 1 372,54 225,89 - - 146,65 - - 372,54 372,54 2 2,0 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 2 2 400,56 253,90 - - 146,66 - - 200,28 200,28 3 1,5 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 39 39 44.653,42 27.067,08 - - 17.586,34 - - 1.144,96 1.144,96 113 2,9 - -
0411010034 OPERACAO CESARIANA 155 155 126.069,69 72.159,59 - - 53.910,10 - - 813,35 813,35 398 2,6 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 20 20 21.977,80 13.694,80 - - 8.283,00 - - 1.098,89 1.098,89 40 2,0 - -
0411010050 REDUCAO MANUAL DE INVERSAO UTERINA AGUDA POS-PARTO 1 1 303,83 233,85 - - 69,98 - - 303,83 303,83 2 2,0 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 67 67 23.763,62 18.161,03 - - 5.602,59 - - 354,68 354,68 139 2,1 - -
