 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Out/2022
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0201010208 BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO";1;709,71;19;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";1;8142,53;24;1;100,00
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";1;1714,60;25;-;-
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";7;2719,93;91;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";2;2302,29;6;1;50,00
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";2;1381,36;42;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";3;2253,19;23;-;-
"0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA";1;14121,47;21;1;100,00
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";1;189,67;3;-;-
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO";2;3000,32;10;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";16;74875,90;205;6;37,50
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";1;681,59;7;1;100,00
"0303070080 TRATAMENTO DE DOENCAS DO PERITONIO";1;251,76;5;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";3;2772,71;8;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";1;2739,80;7;1;100,00
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";17;4079,73;64;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";60;20789,02;224;1;1,67
"0303110040 TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO";1;658,41;4;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";12;11996,05;123;-;-
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";12;119946,33;246;2;16,67
