INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Set/2012
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.078 1.078 923.726,08 644.616,75 - - 279.109,33 - - 856,89 856,89 3.551 3,3 19 1,76
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 2 2 126,39 104,63 - - 21,76 - - 63,20 63,20 - - - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 1 798,23 672,11 - - 126,12 - - 798,23 798,23 5 5,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 2 12.926,90 11.629,86 - - 1.297,04 - - 6.463,45 6.463,45 29 14,5 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 13 13 5.436,48 4.880,41 - - 556,07 - - 418,19 418,19 57 4,4 1 7,69
0303010118 TRATAMENTO DE HEPATITES VIRAIS 1 1 215,81 178,60 - - 37,21 - - 215,81 215,81 2 2,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 1 1 258,77 211,04 - - 47,73 - - 258,77 258,77 1 1,0 - -
0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09) 1 1 174,42 139,07 - - 35,35 - - 174,42 174,42 2 2,0 - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 1 652,17 579,65 - - 72,52 - - 652,17 652,17 6 6,0 1 100,00
0303030038 TRATAMENTO DE DIABETES MELLITUS 7 7 4.794,29 4.258,46 - - 535,83 - - 684,90 684,90 84 12,0 1 14,29
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 4 653,68 559,68 - - 94,00 - - 163,42 163,42 12 3,0 - -
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 1 1 128,83 101,31 - - 27,52 - - 128,83 128,83 2 2,0 - -
0303060026 TRATAMENTO DE ARRITMIAS 1 1 270,70 214,41 - - 56,29 - - 270,70 270,70 4 4,0 - -
