INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Set/2015
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.038 1.038 1.085.583,72 796.868,21 - - 288.715,51 - - 1.045,84 1.045,84 3.643 3,5 26 2,50
0303010010 TRATAMENTO DE DENGUE CLASSICA 1 1 303,76 245,44 - - 58,32 - - 303,76 303,76 2 2,0 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 3 3 2.750,00 2.525,60 - - 224,40 - - 916,67 916,67 27 9,0 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 2 799,06 704,91 - - 94,15 - - 399,53 399,53 11 5,5 - -
0303010118 TRATAMENTO DE HEPATITES VIRAIS 2 2 781,23 675,85 - - 105,38 - - 390,62 390,62 22 11,0 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 4 4 1.203,08 1.012,16 - - 190,92 - - 300,77 300,77 21 5,3 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 6 6 7.566,59 6.629,24 - - 937,35 - - 1.261,10 1.261,10 42 7,0 1 16,67
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 4 3.472,63 3.024,15 - - 448,48 - - 868,16 868,16 26 6,5 1 25,00
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 4 6.288,86 5.543,27 - - 745,59 - - 1.572,21 1.572,21 56 14,0 1 25,00
0303060042 TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA 1 1 1.087,79 906,32 - - 181,47 - - 1.087,79 1.087,79 9 9,0 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 3 3 776,24 650,63 - - 125,61 - - 258,75 258,75 13 4,3 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 1 172,34 134,29 - - 38,05 - - 172,34 172,34 5 5,0 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 3 3 5.991,04 5.396,48 - - 594,56 - - 1.997,01 1.997,01 41 13,7 2 66,67
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 23 23 48.852,67 43.975,05 - - 4.877,62 - - 2.124,03 2.124,03 255 11,1 5 21,74
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 4 4 3.691,87 3.068,84 - - 623,03 - - 922,97 922,97 24 6,0 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 3 3 2.279,76 2.057,76 - - 222,00 - - 759,92 759,92 26 8,7 - -
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 1 279,77 252,26 - - 27,51 - - 279,77 279,77 6 6,0 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 5 5 2.692,49 2.366,64 - - 325,85 - - 538,50 538,50 64 12,8 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 1 1 324,62 283,66 - - 40,96 - - 324,62 324,62 4 4,0 - -
0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS 1 1 941,33 888,36 - - 52,97 - - 941,33 941,33 15 15,0 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 19 19 3.659,48 3.233,69 - - 425,79 - - 192,60 192,60 87 4,6 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 56 56 8.055,17 6.568,54 - - 1.486,63 - - 143,84 143,84 234 4,2 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 16 16 12.789,68 12.065,51 - - 724,17 - - 799,36 799,36 145 9,1 1 6,25
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 6 6 32.342,84 28.292,24 - - 4.050,60 - - 5.390,47 5.390,47 88 14,7 2 33,33
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 1 1 219,13 192,62 - - 26,51 - - 219,13 219,13 4 4,0 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 5 5 16.136,10 14.103,68 - - 2.032,42 - - 3.227,22 3.227,22 76 15,2 1 20,00
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 13 13 6.293,62 5.450,35 - - 843,27 - - 484,12 484,12 50 3,8 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 8 8 2.284,32 1.974,00 - - 310,32 - - 285,54 285,54 23 2,9 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 17 17 115.800,54 100.937,52 - - 14.863,02 - - 6.811,80 6.811,80 292 17,2 1 5,88
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 6 6 47.221,44 42.051,00 - - 5.170,44 - - 7.870,24 7.870,24 170 28,3 4 66,67
0305020013 TRATAMENTO DA PIELONEFRITE 3 3 1.032,09 928,92 - - 103,17 - - 344,03 344,03 16 5,3 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 2 2 4.295,60 4.189,75 - - 105,85 - - 2.147,80 2.147,80 32 16,0 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 4 4 834,22 717,38 - - 116,84 - - 208,56 208,56 13 3,3 1 25,00
0310010039 PARTO NORMAL 298 298 186.850,24 94.202,62 - - 92.647,62 - - 627,01 627,01 466 1,6 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 63 63 50.757,58 27.874,23 - - 22.883,35 - - 805,68 805,68 138 2,2 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 1 1 182,11 121,28 - - 60,83 - - 182,11 182,11 - - - -
0406010650 IMPLANTE DE MARCAPASSO DE CAMARA DUPLA TRANSVENOSO 3 3 28.358,50 26.347,06 - - 2.011,44 - - 9.452,83 9.452,83 27 9,0 1 33,33
0406010684 IMPLANTE DE MARCAPASSO TEMPORARIO TRANSVENOSO 2 2 1.696,88 1.152,36 - - 544,52 - - 848,44 848,44 2 1,0 2 100,00
0406020337 PONTE DE RAMOS DOS TRONCOS SUPRA-AORTICOS 1 1 2.667,66 2.234,32 - - 433,34 - - 2.667,66 2.667,66 4 4,0 1 100,00
0406020566 TRATAMENTO CIRURGICO DE VARIZES (BILATERAL) 1 1 582,04 181,64 - - 400,40 - - 582,04 582,04 - - - -
