 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Set/2023
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";1;8241,73;11;1;100,00
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";2;3223,89;7;1;50,00
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";4;1211,08;22;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";1;909,55;16;-;-
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";1;1230,82;42;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";3;3177,17;45;-;-
"0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS";1;149,53;3;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";2;471,20;8;-;-
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO";4;7146,42;28;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";18;46261,10;254;1;5,56
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";1;1558,97;12;-;-
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";2;3613,87;12;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";1;784,06;4;-;-
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";2;1929,75;23;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";1;409,01;8;-;-
"0303080051 TRATAMENTO DE DERMATITES E ECZEMAS";1;1096,01;26;-;-
"0303080078 TRATAMENTO DE ESTREPTOCOCCIAS";1;358,02;5;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";20;4165,19;75;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";56;10070,56;194;-;-
"0303110058 TRATAMENTO DE FENDA LABIAL E/OU FENDA PALATINA";1;18982,24;30;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";8;7682,15;60;2;25,00
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";8;59334,25;96;-;-
"0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES";1;187,13;5;-;-
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";4;54145,43;88;-;-
"0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO";3;9877,95;30;-;-
"0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL";3;4031,56;13;-;-
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";17;17844,44;81;1;5,88
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";22;6601,32;91;-;-
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";20;169505,81;368;-;-
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";7;66203,62;99;1;14,29
"0304100021 TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO";2;2914,94;26;-;-
"0305020013 TRATAMENTO DA PIELONEFRITE";3;948,36;18;-;-
"0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS";13;22380,64;87;1;7,69
"0310010039 PARTO NORMAL";289;164985,28;455;-;-
"0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO";24;17945,10;85;-;-
"0406020124 EMBOLECTOMIA ARTERIAL";5;19159,69;19;-;-
"0406030022 ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS";2;22077,85;16;-;-
"0406030030 ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT";4;22494,41;6;-;-
"0407010335 TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO/ CONSERVADOR";1;1846,37;1;-;-
"0407020039 APENDICECTOMIA";3;13172,31;22;-;-
"0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)";1;1084,58;14;-;-
"0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL";1;363,90;1;-;-
"0407020284 HEMORROIDECTOMIA";1;323,94;1;-;-
"0407030026 COLECISTECTOMIA";27;29605,99;52;-;-
"0407040080 HERNIOPLASTIA INCISIONAL";2;1329,84;2;-;-
"0407040099 HERNIOPLASTIA INGUINAL (BILATERAL)";1;822,06;1;-;-
"0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)";7;5853,19;10;-;-
"0407040129 HERNIOPLASTIA UMBILICAL";5;2284,95;5;-;-
"0407040161 LAPAROTOMIA EXPLORADORA";3;2057,91;7;-;-
"0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)";2;4919,03;11;-;-
"0408040050 ARTROPLASTIA PARCIAL DE QUADRIL";1;4319,10;4;-;-
"0408050160 RECONSTRUCAOLIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR)";1;3266,90;1;-;-
