"ANO,""COMPETÊNCIA"",UF,""CÓDIGO DO MUNICÍPIO"",""MUNICÍPIO"",CNES,""NOME FANTASIA"",""TIPO DO ESTABELECIMENTO"",""CATEGORIA NATUREZA JURÍDICA"",""GESTÃO"",""CONVÊNIO SUS"",""MARCAÇÃO - TIPO"",""MARCAÇÃO"",""STATUS DO ESTABELECIMENTO"",""MARCAÇÃO - Nº LEITOS"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""0805 CIRURGIA VASCULAR"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""0803 CIRURGIA CARDIOVASCULAR E PROCEDIMENTOS EM CARDIOLOGIA INTERVENCIONISTA"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""1101 SERVICO HOSPITALAR PARA TRATAMENTO AIDS"",ATIVO,0"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,Incentivo,""8274 UTI ADULTO RUE TIPO II - QUALIFICADOS"",ATIVO,4"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,RAS,""9202 PARTO E NASCIMENTO"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""1404 HOSPITAL AMIGO DA CRIANCA"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""1901 LAQUEADURA"",ATIVO,0"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""0801 UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE CARDIOVASCULAR*"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""1902 VASECTOMIA"",ATIVO,0"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""1420 HOSPITAL DE REFERENCIA A GESTACAO E AO PUERPERIO DE ALTO RISCO - HGPAR"",ATIVO,9"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""2802 UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL - UCINCO"",ATIVO,4"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""2610 UNIDADE DE TERAPIA INTENSIVA NEONATAL TIPO II - UTIN II"",ATIVO,18"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""2803 UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU - UCINCA"",ATIVO,3"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""0806 CIRURGIA VASCULAR E PROCEDIMENTOS ENDOVASCULARES EXTRACARDIACOS"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""0807 LABORATÓRIO DE ELETROFISIOLOGIA, CIRURGIA CARDIOVASCULAR E PROCEDIMENTOS DE CARDIOLOGIA INTERVENCIONISTA. O"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,""Habilitação"",""2601 UTI II ADULTO"",ATIVO,10"
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,RAS,""9307 HOSPITALAR"",ATIVO,""-"""
"2025,""2025/11"",MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""05 HOSPITAL GERAL"",""SEM FINS LUCRATIVOS"",MUNICIPAL,SIM,Incentivo,""8209 LEITO DE GESTACAO E PUERPERIO DE ALTO RISCO - GPAR QUALIFICADO"",ATIVO,9"
