"COMPETÊNCIA",UF,"CÓDIGO DO MUNICÍPIO","MUNICÍPIO",CNES,"NOME FANTASIA","TIPO DO ESTABELECIMENTO","NATUREZA JURÍDICA CATEGORIA","GESTÃO","CONVÊNIO SUS","CÓDIGO DO LEITO","TIPO DO LEITO",LEITO,"LEITOS EXISTENTES","LEITOS SUS","STATUS DO ESTABELECIMENTO"
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,42,"ESPEC - CLINICO",NEUROLOGIA,2,2,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,02,"ESPEC - CIRURGICO",CARDIOLOGIA,4,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,75,COMPLEMENTAR,"UTI ADULTO - TIPO II",11,10,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,05,"ESPEC - CIRURGICO",GASTROENTEROLOGIA,2,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,43,OBSTETRICO,"OBSTETRICIA CLINICA",16,12,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,41,"ESPEC - CLINICO",NEONATOLOGIA,1,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,31,"ESPEC - CLINICO",AIDS,1,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,45,PEDIATRICO,"PEDIATRIA CLINICA",11,11,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,09,"ESPEC - CIRURGICO",NEUROCIRURGIA,1,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,08,"ESPEC - CIRURGICO",NEFROLOGIAUROLOGIA,1,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,06,"ESPEC - CIRURGICO",GINECOLOGIA,5,5,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,03,"ESPEC - CIRURGICO","CIRURGIA GERAL",8,7,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,46,"ESPEC - CLINICO",PNEUMOLOGIA,2,2,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,13,"ESPEC - CIRURGICO",ORTOPEDIATRAUMATOLOGIA,1,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,33,"ESPEC - CLINICO","CLINICA GERAL",3,3,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,40,"ESPEC - CLINICO",NEFROUROLOGIA,2,2,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,81,COMPLEMENTAR,"UTI NEONATAL - TIPO II",18,18,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,10,OBSTETRICO,"OBSTETRICIA CIRURGICA",51,39,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,68,PEDIATRICO,"PEDIATRIA CIRURGICA",1,1,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,32,"ESPEC - CLINICO",CARDIOLOGIA,3,3,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,92,COMPLEMENTAR,"UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL",4,4,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,93,COMPLEMENTAR,"UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU",3,3,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,15,"ESPEC - CIRURGICO",PLASTICA,1,0,ATIVO
"2025/10",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,16,"ESPEC - CIRURGICO",TORACICA,1,0,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,41,"ESPEC - CLINICO",NEONATOLOGIA,1,1,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,43,OBSTETRICO,"OBSTETRICIA CLINICA",16,12,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,45,PEDIATRICO,"PEDIATRIA CLINICA",11,11,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,10,OBSTETRICO,"OBSTETRICIA CIRURGICA",51,39,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,31,"ESPEC - CLINICO",AIDS,1,1,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,08,"ESPEC - CIRURGICO",NEFROLOGIAUROLOGIA,1,1,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,05,"ESPEC - CIRURGICO",GASTROENTEROLOGIA,2,1,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,06,"ESPEC - CIRURGICO",GINECOLOGIA,5,5,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,09,"ESPEC - CIRURGICO",NEUROCIRURGIA,1,1,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,75,COMPLEMENTAR,"UTI ADULTO - TIPO II",11,10,ATIVO
"2025/09",MT,510340,CUIABA,2311682,"HOSPITAL SANTA HELENA","05 HOSPITAL GERAL","SEM FINS LUCRATIVOS",MUNICIPAL,SIM,68,PEDIATRICO,"PEDIATRIA CIRURGICA",1,1,ATIVO
