"COMPETÊNCIA","SIA - QTD.","SIA - VALOR","SIH - QTD.","SIH - VALOR"
"2025/10",0,"R$0",0,"R$0"
"2025/09","3.011","R$58.551,6",983,"R$1.249.902"
"2025/08","2.921","R$60.872",906,"R$1.159.616,13"
"2025/07","2.903","R$67.134",970,"R$1.201.848,38"
"2025/06","2.794","R$45.893,18",979,"R$1.135.401"
"2025/05","2.922","R$55.882,27",991,"R$1.177.253,25"
"2025/04","2.968","R$49.987,68",992,"R$1.164.684,88"
"2025/03","2.945","R$53.882",995,"R$1.193.228,5"
"2025/02","2.917","R$59.832",810,"R$947.840,75"
"2025/01","2.844","R$57.227,04",871,"R$1.085.609,63"
