"COMPETÊNCIA,UF,""CÓDIGO DO MUNICÍPIO"",""MUNICÍPIO"",CNES,""NOME FANTASIA"",""TIPO NOVO DO ESTABELECIMENTO"",""TIPO DO ESTABELECIMENTO"",""SUBTIPO DO ESTABELECIMENTO"",""GESTÃO"",""CONVÊNIO SUS"",""CATEGORIA NATUREZA JURÍDICA"",""SERVIÇO"",""SERVIÇO CLASSIFICAÇÃO"",""SERVIÇO - AMBULATORIAL SUS"",""SERVIÇO - AMBULATORIAL NÃO SUS"",""SERVIÇO - HOSPITALAR SUS"",""SERVIÇO - HOSPITALAR NÃO SUS"",""SERVIÇO TERCEIRO"",""STATUS DO ESTABELECIMENTO"""
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""145 SERVICO DE DIAGNOSTICO DE LABORATORIO CLINICO"",""004 EXAMES COPROLOGICOS"",Sim,Sim,Sim,Sim,4130162,ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""140 SERVICO DE URGENCIA E EMERGENCIA"",""004 ESTABILIZACAO DE PACIENTE CRITICO/GRAVE EM SALA DE ESTABILIZ"",""Não"",Sim,Sim,""Não"",""NAO INFORMADO"",ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""140 SERVICO DE URGENCIA E EMERGENCIA"",""013 PRONTO SOCORRO OBSTETRICO"",Sim,Sim,Sim,""Não"",""NAO INFORMADO"",ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""164 ORTESES, PROT E MEIOS AUXIL DE LOCOMOCAO EM REABILITACAO"",""010 DISPENSACAO DE OPM EM GASTROENTEROLOGIA"",""Não"",Sim,Sim,""Não"",""NAO INFORMADO"",ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""145 SERVICO DE DIAGNOSTICO DE LABORATORIO CLINICO"",""006 EXAMES HORMONAIS"",Sim,Sim,Sim,Sim,4130162,ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""110 SERVICO DE ATENCAO A SAUDE REPRODUTIVA"",""003 LAQUEADURA"",""Não"",""Não"",Sim,Sim,""NAO INFORMADO"",ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""121 SERVICO DE DIAGNOSTICO POR IMAGEM"",""008 ULTRA-SONOGRAFIA POR TELEMEDICINA"",Sim,""Não"",Sim,""Não"",""NAO INFORMADO"",ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""145 SERVICO DE DIAGNOSTICO DE LABORATORIO CLINICO"",""003 EXAMES SOROLOGICOS E IMUNOLOGICOS"",""Não"",Sim,Sim,""Não"",4130162,ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""122 SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS"",""006 TESTE HOLTER POR TELEMEDICINA"",""Não"",""Não"",Sim,""Não"",""NAO INFORMADO"",ATIVO"
"2025/11,MT,510340,CUIABA,2311682,""HOSPITAL SANTA HELENA"",""006 HOSPITAL"",""05 HOSPITAL GERAL"",""N/A"",MUNICIPAL,SIM,""SEM FINS LUCRATIVOS"",""131 SERVICO DE OFTALMOLOGIA"",""001 DIAGNOSTICO EM OFTALMOLOGIA"",""Não"",""Não"",Sim,""Não"",""NAO INFORMADO"",ATIVO"
