"COMPETÊNCIA","QTD. CNES","LEITOS EXISTENTES","LEITOS SUS","SIA - QTD.","SIA - VALOR","SIH - QTD.","SIH - VALOR"
1764460800000,1,153,129,0,0,0,0
1761868800000,1,153,129,2937,56751.48046875,986,1399485.75
1759190400000,1,153,129,3011,58551.6015625,983,1249902
1756598400000,1,153,129,2921,60872,906,1159616.125
1753920000000,1,153,129,2903,67134,970,1201848.375
1751241600000,1,153,129,2794,45893.1796875,979,1135401
1748649600000,1,153,129,2922,55882.26953125,991,1177253.25
1745971200000,1,153,129,2968,49987.6796875,992,1164684.875
1743379200000,1,154,129,2945,53882,995,1193228.5
1740700800000,1,153,129,2917,59832,810,947840.75
1738281600000,1,157,129,2844,57227.0390625,871,1085609.625
