 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês processamento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Jan/2008-Out/2025
"Ano/mês processamento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"2008";10942;10942;7517630,98;5559498,75;-;-;1958132,23;-;-;687,04;687,04;39142;3,6;294;2,69
"..Janeiro/2008";824;824;464607,28;342006,95;-;-;122600,33;-;-;563,84;563,84;2448;3,0;26;3,16
"..Fevereiro/2008";905;905;746530,96;582297,32;-;-;164233,64;-;-;824,90;824,90;4103;4,5;38;4,20
"..Março/2008";891;891;501360,07;363844,26;-;-;137515,81;-;-;562,69;562,69;2501;2,8;14;1,57
"..Abril/2008";1024;1024;833735,03;642590,44;-;-;191144,59;-;-;814,19;814,19;4783;4,7;40;3,91
"..Maio/2008";922;922;623622,85;462333,98;-;-;161288,87;-;-;676,38;676,38;3383;3,7;21;2,28
"..Junho/2008";979;979;677356,58;508384,94;-;-;168971,64;-;-;691,89;691,89;3320;3,4;12;1,23
"..Julho/2008";938;938;651871,56;492898,34;-;-;158973,22;-;-;694,96;694,96;3556;3,8;30;3,20
"..Agosto/2008";874;874;611366,56;458501,50;-;-;152865,06;-;-;699,50;699,50;3367;3,9;30;3,43
"..Setembro/2008";933;933;680122,51;500529,88;-;-;179592,63;-;-;728,96;728,96;3415;3,7;21;2,25
"..Outubro/2008";892;892;604016,87;437618,36;-;-;166398,51;-;-;677,15;677,15;3145;3,5;22;2,47
"..Novembro/2008";771;771;393719,95;252896,04;-;-;140823,91;-;-;510,66;510,66;1724;2,2;4;0,52
"..Dezembro/2008";989;989;729320,76;515596,74;-;-;213724,02;-;-;737,43;737,43;3397;3,4;36;3,64
"2009";12052;12052;10406425,63;7547510,27;-;-;2858915,36;-;-;863,46;863,46;44242;3,7;341;2,83
"..Janeiro/2009";1048;1048;1212252,64;940078,31;-;-;272174,33;-;-;1156,73;1156,73;5362;5,1;52;4,96
"..Fevereiro/2009";1040;1040;853975,88;615038,31;-;-;238937,57;-;-;821,13;821,13;3795;3,6;27;2,60
"..Março/2009";1225;1225;1010099,72;712907,05;-;-;297192,67;-;-;824,57;824,57;4351;3,6;29;2,37
"..Abril/2009";931;931;778929,21;554661,64;-;-;224267,57;-;-;836,66;836,66;3199;3,4;18;1,93
"..Maio/2009";1010;1010;812198,25;571118,41;-;-;241079,84;-;-;804,16;804,16;3529;3,5;26;2,57
"..Junho/2009";982;982;852696,25;614008,27;-;-;238687,98;-;-;868,33;868,33;3455;3,5;22;2,24
"..Julho/2009";948;948;854381,03;633756,38;-;-;220624,65;-;-;901,25;901,25;3650;3,9;29;3,06
"..Agosto/2009";955;955;780570,84;562393,17;-;-;218177,67;-;-;817,35;817,35;3264;3,4;30;3,14
